ComplexID	ComplexName	Organism	Synonyms	Cell.line	subunits.UniProt.IDs.	subunits.Entrez.IDs.	Protein.complex.purification.method	GO.ID	GO.description	FunCat.ID	FunCat.description	PubMed.ID	subunits.Protein.name.	subunits.Gene.name.	subunits.Gene.name.syn.	Disease.comment	Subunits.comment	Complex.comment	SWISSPROT.organism	Num.Uniprot.IDs	MyListOverlap	querysize	expected	FCEnrichment	pvalue	Comparisons
57	HDAC4-ERK2 complex	Human	None	None	P28482;P56524	5594;9759	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:2001141;GO:0006355;GO:0000165;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;MAPK cascade;chromosome organization;nucleus	10.01.09.05;11.02.03.04;30.01.05.01.03;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcriptional control;MAPKKK cascade;organization of chromosome structure;nucleus	11114188	Mitogen-activated protein kinase 1;Histone deacetylase 4	MAPK1;HDAC4	ERK2, PRKM1, PRKM2;KIAA0288	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	2	2	1215	0.689166193987521	2.90205761316872	0	Cal33-HSC6
98	p300-MDM2-p53 protein complex	Human	None	None	P04637;Q00987;Q09472	7157;4193;2033	MI:0091- chromatography technologies	GO:2001141;GO:0006355;GO:0030234;GO:0050790;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;enzyme regulator activity;regulation of catalytic activity;nucleus	11.02.03.04;18.02.01;70.10	transcriptional control;enzymatic activity regulation / enzyme regulator;nucleus	11070080	Cellular tumor antigen p53;E3 ubiquitin-protein ligase Mdm2 ;Histone acetyltransferase p300	TP53;MDM2;EP300	P53;;P300	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1215	1.03374929098128	1.93470507544582	0.0408487185047026	Cal33-HSC6
246	BLM complex III	Human	BLM-CIII complex	None	P40692;P54132;Q13472;Q9H9A7	4292;641;7156;80010	MI:0006- anti bait coimmunoprecipitation	GO:0051276;GO:0006281;GO:0006974;GO:0005634	chromosome organization;DNA repair;cellular response to DNA damage stimulus;nucleus	42.10.03;10.01.05.01;32.01.09;70.10	organization of chromosome structure;DNA repair;DNA damage response;nucleus	12724401	DNA mismatch repair protein Mlh1 ;Bloom syndrome protein ;DNA topoisomerase 3-alpha ;RecQ-mediated genome instability protein 1	MLH1;BLM;TOP3A;RMI1	COCA2;RECQ2 RECQL3;TOP3;C9orf76	BLM complex III is involved in Bloom syndrome (BS).	Another subunit of the complex was found in the analysis, which has not been further characterized: BLAPp100.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	4	3	1215	1.37833238797504	2.17654320987654	0.0140529795139652	Cal33-HSC6
847	RICH1-PAR3-aPKC polarity complex	Human	None	epithelium	P41743;Q68EM7;Q8TEW0	5584;55114;56288	MI:0007- anti tag coimmunoprecipitation	GO:0008104;GO:0005096;GO:0043547;GO:0007186;GO:0051211;GO:0007043;GO:0030054	protein localization;GTPase activator activity;positive regulation of GTPase activity;G-protein coupled receptor signaling pathway;anisotropic cell growth;cell-cell junction assembly;cell junction	18.01.03;18.02.01.01.01;30.05.02.24;40.01.03;42.06.04;70.06	regulation by localization;GTPase activator (GAP);G-protein coupled receptor signalling pathway;directional cell growth (morphogenesis);intercellular junction (gap junction/adherens junction);cell junction	16678097	Protein kinase C iota type;Rho GTPase-activating protein 17;Partitioning defective 3 homolog	PRKCI;ARHGAP17;PARD3	DXS1179E;RICH1;PAR3, PAR3A	None	None	Immunoblotting revealed aPKC and the 100 kDa isoform of Par-3, but not Par-6, in Rich1 immunoprecipitates. Par-3 and aPKC likely associate with Rich1 at lower levels than Pals1 and Patj since they were not identified by MS (see complex 846).	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1215	1.03374929098128	1.93470507544582	0.0408487185047026	Cal33-HSC6
875	SNARE complex (VAMP3, VAMP4, STX16)	Human	None	None	O14662;O75379;Q15836	8675;8674;9341	MI:0019- coimmunoprecipitation	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	11839770	Syntaxin-16 ;Vesicle-associated membrane protein 4 ;Vesicle-associated membrane protein 3	STX16;VAMP4;VAMP3	;;SYB3	None	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1215	1.03374929098128	1.93470507544582	0.0408487185047026	Cal33-HSC6
1045	Snurportin-CRM1-RanGTP complex	Human	None	None	O14980;O95149;P62826	7514;10073;5901	MI:0096- pull down	GO:0015031;GO:0008565;GO:0050658;GO:0051033;GO:0051169;GO:0005737;GO:0005634	protein transport;protein transporter activity;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus	20.01.10;20.01.21;20.09.01;70.03;70.10	protein transport;RNA transport;nuclear transport;cytoplasm;nucleus	10209022	Exportin-1 ;Snurportin-1 ;GTP-binding nuclear protein Ran	XPO1;SNUPN;RAN	CRM1;RNUT1 SPN1;ARA24	None	None	The complex is exported from the nucleus to the cytoplasm where  RanGTP is removed from CRM1 through the action of RanBP1 and RanGAP.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	3	1215	1.03374929098128	2.90205761316872	0	Cal33-HSC6
1079	P-TEFb.1 complex	Human	transcription elongation factor b.1 complex	None	O60563;P50750	904;1025	MI:0007- anti tag coimmunoprecipitation	GO:0006794;GO:0006796;GO:0006354;GO:0045893;GO:0006464;GO:0043085;GO:0008047;GO:0005634	phosphorus utilization;phosphate-containing compound metabolic process;DNA-templated transcription, elongation;positive regulation of transcription, DNA-templated;cellular protein modification process;positive regulation of catalytic activity;enzyme activator activity;nucleus	01.04;11.02.03.01.04;11.02.03.04.01;14.07;18.02.01.01;70.10	phosphate metabolism;transcription elongation;transcription activation;protein modification;enzyme activator;nucleus	9499409	Cyclin-T1;Cyclin-dependent kinase 9	CCNT1;CDK9	None;CDC2L4, TAK	None	None	Cyclin T activates CDK9 in the P-TEFb complex. P-TEFb works as a protein kinase that phosphorylates the C-terminal domain of the RNAPII largest subunit.	Homo sapiens (Human);Homo sapiens (Human)	2	2	1215	0.689166193987521	2.90205761316872	0	Cal33-HSC6
1082	P-TEFb.1 complex	Human	transcription elongation factor b.1 complex	None	O60563;P50750	904;1025	MI:0018- two hybrid; MI:0071- molecular sieving	GO:0006794;GO:0006796;GO:0006354;GO:0045893;GO:0006464;GO:0043085;GO:0008047;GO:0005634	phosphorus utilization;phosphate-containing compound metabolic process;DNA-templated transcription, elongation;positive regulation of transcription, DNA-templated;cellular protein modification process;positive regulation of catalytic activity;enzyme activator activity;nucleus	01.04;11.02.03.01.04;11.02.03.04.01;14.07;18.02.01.01;70.10	phosphate metabolism;transcription elongation;transcription activation;protein modification;enzyme activator;nucleus	10574912	Cyclin-T1;Cyclin-dependent kinase 9	CCNT1;CDK9	None;CDC2L4, TAK	None	None	Cyclin T activates CDK9 in the P-TEFb complex. P-TEFb works as a protein kinase that phosphorylates the C-terminal domain of the RNAPII largest subunit.	Homo sapiens (Human);Homo sapiens (Human)	2	2	1215	0.689166193987521	2.90205761316872	0	Cal33-HSC6
1083	P-TEFb.4 complex	Human	transcription elongation factor b.4 complex	None	O75909;P50750	8812;1025	MI:0018- two hybrid; MI:0071- molecular sieving	GO:0006794;GO:0006796;GO:0006354;GO:0045893;GO:0006464;GO:0043085;GO:0008047;GO:0005634	phosphorus utilization;phosphate-containing compound metabolic process;DNA-templated transcription, elongation;positive regulation of transcription, DNA-templated;cellular protein modification process;positive regulation of catalytic activity;enzyme activator activity;nucleus	01.04;11.02.03.01.04;11.02.03.04.01;14.07;18.02.01.01;70.10	phosphate metabolism;transcription elongation;transcription activation;protein modification;enzyme activator;nucleus	10574912	Cyclin-K;Cyclin-dependent kinase 9	CCNK;CDK9	CPR4;CDC2L4, TAK	None	None	Cyclin K functions as regulatory subunit of CDK9.	Homo sapiens (Human);Homo sapiens (Human)	2	2	1215	0.689166193987521	2.90205761316872	0	Cal33-HSC6
1116	CRM1-Survivin-AuroraB mitotic complex	Human	None	None	O14980;O15392;Q96GD4	7514;332;9212	MI:0006- anti bait coimmunoprecipitation	GO:0000278;GO:0051169;GO:0000775	mitotic cell cycle;nuclear transport;chromosome, centromeric region	10.03.01.01;20.09.01;70.10.04	mitotic cell cycle;nuclear transport;centromere / kinetochore	17099693	Exportin-1 ;Baculoviral IAP repeat-containing protein 5;Aurora kinase B	XPO1;BIRC5;AURKB	CRM1;API4, IAP4;AIK2, AIM1, AIRK2, ARK2 STK1, STK12, STK5	None	None	Crm1 could be recovered in a complex with endogenous Survivin-Aurora-B from mitotic cells, whereas complex formation was abolished on pretreatment with LMB (leptomycin B).	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1215	1.03374929098128	1.93470507544582	0.0408487185047026	Cal33-HSC6
