ComplexID	ComplexName	Organism	Synonyms	Cell.line	subunits.UniProt.IDs.	subunits.Entrez.IDs.	Protein.complex.purification.method	GO.ID	GO.description	FunCat.ID	FunCat.description	PubMed.ID	subunits.Protein.name.	subunits.Gene.name.	subunits.Gene.name.syn.	Disease.comment	Subunits.comment	Complex.comment	SWISSPROT.organism	Num.Uniprot.IDs	MyListOverlap	querysize	expected	FCEnrichment	pvalue	Comparisons
1	BCL6-HDAC4 complex	Human	None	None	P41182;P56524	604;9759	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0030183;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;B cell differentiation;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;42.10.03;43.03.07.02.01.01;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;B-cell;nucleus	11929873	B-cell lymphoma 6 protein ;Histone deacetylase 4	BCL6;HDAC4	BCL5 LAZ3 ZBTB27 ZNF51;KIAA0288	None	None	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	Homo sapiens (Human);Homo sapiens (Human)	2	1	537	0.30459444129325	3.28305400372439	0.023157818515345	Cal33-HSC6
3	BCL6-HDAC7 complex	Human	None	None	P41182;Q8WUI4	604;51564	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0030183;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;B cell differentiation;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;42.10.03;43.03.07.02.01.01;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;B-cell;nucleus	11929873	B-cell lymphoma 6 protein ;Histone deacetylase 7	BCL6;HDAC7	BCL5 LAZ3 ZBTB27 ZNF51;HDAC7A	None	None	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	Homo sapiens (Human);Homo sapiens (Human)	2	1	537	0.30459444129325	3.28305400372439	0.023157818515345	Cal33-HSC6
55	HDAC4-ERK1 complex	Human	None	None	P27361;P56524	5595;9759	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:2001141;GO:0006355;GO:0000165;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;MAPK cascade;chromosome organization;nucleus	10.01.09.05;11.02.03.04;30.01.05.01.03;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcriptional control;MAPKKK cascade;organization of chromosome structure;nucleus	11114188	Mitogen-activated protein kinase 3;Histone deacetylase 4	MAPK3;HDAC4	ERK1, PRKM3;KIAA0288	None	None	ERK1 activity links the Ras-MAPK signal transduction pathway to a mechanism for chromatin remodeling (i.e., histone deacetylation).	Homo sapiens (Human);Homo sapiens (Human)	2	1	537	0.30459444129325	3.28305400372439	0.023157818515345	Cal33-HSC6
57	HDAC4-ERK2 complex	Human	None	None	P28482;P56524	5594;9759	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:2001141;GO:0006355;GO:0000165;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;MAPK cascade;chromosome organization;nucleus	10.01.09.05;11.02.03.04;30.01.05.01.03;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcriptional control;MAPKKK cascade;organization of chromosome structure;nucleus	11114188	Mitogen-activated protein kinase 1;Histone deacetylase 4	MAPK1;HDAC4	ERK2, PRKM1, PRKM2;KIAA0288	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	2	1	537	0.30459444129325	3.28305400372439	0.023157818515345	Cal33-HSC6
72	R/M complex (RAD50-MRE11 complex)	Human	None	None	P49959;Q92878	4361;10111	MI:0071- molecular sieving	GO:0006308;GO:0006281;GO:0003677;GO:0006974;GO:0051276;GO:0005634	DNA catabolic process;DNA repair;DNA binding;cellular response to DNA damage stimulus;chromosome organization;nucleus	01.03.16.03;10.01.05.01;16.03.01;32.01.09;42.10.03;70.10	DNA degradation;DNA repair;DNA binding;DNA damage response;organization of chromosome structure;nucleus	9651580	Double-strand break repair protein MRE11A ;DNA repair protein RAD50	MRE11A;RAD50	HNGS1 MRE11;	None	None	Mre11 by itself has 3' to 5' exonuclease activity that is increased when Mre11 is in a complex with Rad50.	Homo sapiens (Human);Homo sapiens (Human)	2	1	537	0.30459444129325	3.28305400372439	0.023157818515345	Cal33-HSC6
236	WICH complex	Human	WSTF-ISWI chromatin remodeling complex	None	O60264;Q9UIG0	8467;9031	MI:0096- pull down	GO:0006265;GO:0005515;GO:0003677;GO:0005524;GO:0005694	DNA topological change;protein binding;DNA binding;ATP binding;chromosome	10.01.09.05;16.01;16.03.01;16.19.03;70.10.03	DNA conformation modification (e.g. chromatin);protein binding;DNA binding;ATP binding;chromosome	11980720	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Tyrosine-protein kinase BAZ1B	SMARCA5;BAZ1B	SNF2H WCRF135;WBSC10 WBSCR10 WBSCR9 WSTF	None	None	WICH is a member of the ISWI-containing chromatin remodelling complexes.	Homo sapiens (Human);Homo sapiens (Human)	2	1	537	0.30459444129325	3.28305400372439	0.023157818515345	Cal33-HSC6
263	R/M complex (RAD50-MRE11 complex)	Human	None	None	P49959;Q92878	4361;10111	MI:0004- affinity chromatography technologies; MI:0428- imaging techniques	GO:0006308;GO:0006281;GO:0003677;GO:0006974;GO:0051276;GO:0005634	DNA catabolic process;DNA repair;DNA binding;cellular response to DNA damage stimulus;chromosome organization;nucleus	01.03.16.03;10.01.05.01;16.03.01;32.01.09;42.10.03;70.10	DNA degradation;DNA repair;DNA binding;DNA damage response;organization of chromosome structure;nucleus	11741547	Double-strand break repair protein MRE11A ;DNA repair protein RAD50	MRE11A;RAD50	HNGS1 MRE11;	None	None	R/M consists of two highly flexible intramolecular coiled coils emanating from a central globular DNA binding domain.	Homo sapiens (Human);Homo sapiens (Human)	2	1	537	0.30459444129325	3.28305400372439	0.023157818515345	Cal33-HSC6
264	R/M complex (RAD50-MRE11 complex)	Human	None	None	P49959;Q92878	4361;10111	MI:0428- imaging techniques	GO:0006308;GO:0006281;GO:0003677;GO:0006974;GO:0051276;GO:0005634	DNA catabolic process;DNA repair;DNA binding;cellular response to DNA damage stimulus;chromosome organization;nucleus	01.03.16.03;10.01.05.01;16.03.01;32.01.09;42.10.03;70.10	DNA degradation;DNA repair;DNA binding;DNA damage response;organization of chromosome structure;nucleus	15165861	Double-strand break repair protein MRE11A ;DNA repair protein RAD50	MRE11A;RAD50	HNGS1 MRE11;	None	None	Human Rad50-Mre11 complexes are predominantly heterotetramers.	Homo sapiens (Human);Homo sapiens (Human)	2	1	537	0.30459444129325	3.28305400372439	0.023157818515345	Cal33-HSC6
265	ATR-ATRIP complex	Human	None	None	Q13535;Q8WXE1	545;84126	MI:0091- chromatography technologies; MI:0071- molecular sieving	GO:0000075;GO:0003677;GO:0006974;GO:0005634	cell cycle checkpoint;DNA binding;cellular response to DNA damage stimulus;nucleus	10.03.01.03;16.03.01;32.01.09;70.10	cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;DNA damage response;nucleus	14724280	Serine/threonine-protein kinase ATR ;ATR-interacting protein	ATR;ATRIP	FRP1;AGS1	None	None	ATR and ATRIP associate with chromatin in vivo, and they exist as a large molecular weight complex that can bind single-stranded (ss)DNA cellulose in vitro. Neither ATR nor ATRIP are able to bind DNA individually, nor do they bind DNA in a cooperative manner.	Homo sapiens (Human);Homo sapiens (Human)	2	1	537	0.30459444129325	3.28305400372439	0.023157818515345	Cal33-HSC6
408	Guanylyl cyclase, soluble (GUCY1A3, GUCY1B3)	Human	None	None	Q02108;Q02153	2982;2983	MI:0028- cosedimentation in solution	GO:0009187;GO:0005515;GO:0005737	cyclic nucleotide metabolic process;protein binding;cytoplasm	01.03.10;16.01;70.03	metabolism of cyclic and unusual nucleotides;protein binding;cytoplasm	1683630	Guanylate cyclase soluble subunit alpha-3 ;Guanylate cyclase soluble subunit beta-1	GUCY1A3;GUCY1B3	GUC1A3 GUCSA3 GUCY1A1;GUC1B3 GUCSB3 GUCY1B1	None	None	Two soluble guanylyl cyclase complexes were found in mammals.  The GUCY1A3-GUCY1B3 complex exhibits higher guanylyl cyclase activity than the GUCY1A2-GUCY1B3 complex.	Homo sapiens (Human);Homo sapiens (Human)	2	1	537	0.30459444129325	3.28305400372439	0.023157818515345	Cal33-HSC6
559	Decapping complex	Human	None	None	P26196;Q6P2E9;Q8IU60;Q96F86;Q9NPI6	1656;23644;167227;80153;55802	MI:0019- coimmunoprecipitation	GO:0043488;GO:0005737	regulation of mRNA stability;cytoplasm	11.04.03.11;70.03	control of mRNA stability;cytoplasm	16364915	Probable ATP-dependent RNA helicase DDX6;Enhancer of mRNA-decapping protein 4 ;m7GpppN-mRNA hydrolase ;Enhancer of mRNA-decapping protein 3 ;mRNA-decapping enzyme 1A	DDX6;EDC4;DCP2;EDC3;DCP1A	HLR2 RCK;HEDLS;NUDT20;LSM16 YJDC YJEFN2;SMIF	None	None	Decapping is a key step in mRNA turnover. The decapping complex was found to be localized in cytoplasmic processing bodies (PBs), which are thought to be the sites of mRNA decay.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	5	2	537	0.761486103233125	2.62644320297952	0.0276477052120647	Cal33-HSC6
775	CBC complex (cap binding complex)	Human	None	None	P52298;Q09161	22916;4686	MI:0114- x-ray crystallography	GO:0003723;GO:0050658;GO:0051033;GO:0051169;GO:0005634	RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;nucleus	16.03.03;20.01.21;20.09.01;70.10	RNA binding;RNA transport;nuclear transport;nucleus	11545740	Nuclear cap-binding protein subunit 2;Nuclear cap-binding protein subunit 1	NCBP2;NCBP1	CBP20;CBP80 NCBP	None	None	The heterodimeric nuclear cap binding complex (CBC) binds to 5'-capped polymerase II transcripts. It enhances the efficiency of several mRNA maturation steps and is essential for U snRNA nuclear export in multicellular eukaryotes.	Homo sapiens (Human);Homo sapiens (Human)	2	1	537	0.30459444129325	3.28305400372439	0.023157818515345	Cal33-HSC6
783	ITCH-FAM/USP9x complex	Human	None	None	Q93008;Q96J02	8239;83737	MI:0004- affinity chromatography technologies; MI:0019- coimmunoprecipitation; MI:0069- mass spectrometry studies of complexes	GO:0016567;GO:0016579;GO:0005515;GO:0050789	protein ubiquitination;protein deubiquitination;protein binding;regulation of biological process	14.07.05;16.01;18	modification by ubiquitination, deubiquitination;protein binding;REGULATION OF METABOLISM AND PROTEIN FUNCTION	17038327	Probable ubiquitin carboxyl-terminal hydrolase FAF-X ;E3 ubiquitin-protein ligase Itchy homolog	USP9X;ITCH	DFFRX FAM USP9;	None	None	Interaction between Itch and FAM reverses Itch auto-ubiquitylation and protects the ligase from proteasomal degradation.	Homo sapiens (Human);Homo sapiens (Human)	2	1	537	0.30459444129325	3.28305400372439	0.023157818515345	Cal33-HSC6
847	RICH1-PAR3-aPKC polarity complex	Human	None	epithelium	P41743;Q68EM7;Q8TEW0	5584;55114;56288	MI:0007- anti tag coimmunoprecipitation	GO:0008104;GO:0005096;GO:0043547;GO:0007186;GO:0051211;GO:0007043;GO:0030054	protein localization;GTPase activator activity;positive regulation of GTPase activity;G-protein coupled receptor signaling pathway;anisotropic cell growth;cell-cell junction assembly;cell junction	18.01.03;18.02.01.01.01;30.05.02.24;40.01.03;42.06.04;70.06	regulation by localization;GTPase activator (GAP);G-protein coupled receptor signalling pathway;directional cell growth (morphogenesis);intercellular junction (gap junction/adherens junction);cell junction	16678097	Protein kinase C iota type;Rho GTPase-activating protein 17;Partitioning defective 3 homolog	PRKCI;ARHGAP17;PARD3	DXS1179E;RICH1;PAR3, PAR3A	None	None	Immunoblotting revealed aPKC and the 100 kDa isoform of Par-3, but not Par-6, in Rich1 immunoprecipitates. Par-3 and aPKC likely associate with Rich1 at lower levels than Pals1 and Patj since they were not identified by MS (see complex 846).	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	537	0.456891661939875	4.37740533829919	0.0035157301094522	Cal33-HSC6
