Protein	Gene	ProteinName	EntrezID	ProteinRef	Comparison	log2FC	pvalue	adj.pvalue	imputed	iLog2FC	iPvalue	Cal33	HSC6	CMA	Species
A0AVK6	E2F8	E2F transcription factor 8	79733	A0AVK6	Cal33-HSC6	-0.197852010726254	0.718314567323372	0.786219863306159	no	-0.197852010726254	0.786219863306159	3	4	HSC6	human
A0FGR8	ESYT2	extended synaptotagmin 2	57488	A0FGR8	Cal33-HSC6	-0.592044641886387	0.0201737785498226	0.0494747232457531	no	-0.592044641886387	0.0494747232457531	4	4	HSC6	human
A0JLT2	MED19	mediator complex subunit 19	219541	A0JLT2	Cal33-HSC6	-0.628616165676391	0.213593795035279	0.305643373646403	no	-0.628616165676391	0.305643373646403	4	4	HSC6	human
A0MZ66	SHTN1	shootin 1	57698	A0MZ66	Cal33-HSC6	0.372621394671688	0.341818524004956	0.442598690700196	no	0.372621394671688	0.442598690700196	4	4	Cal33	human
A1A4S6	ARHGAP10	Rho GTPase activating protein 10	79658	A1A4S6	Cal33-HSC6	3.4375816681475	0.169144480925574	0.253557451632311	no	3.4375816681475	0.253557451632311	1	2	Cal33	human
A1A5D9	BICDL2	BICD family like cargo adaptor 2	146439	A1A5D9	Cal33-HSC6	-0.480127147314155	0.0650496377218457	0.122265670901037	no	-0.480127147314155	0.122265670901037	2	4	HSC6	human
A1KXE4	FAM168B	family with sequence similarity 168 member B	130074	A1KXE4	Cal33-HSC6	0.0223208512663047	0.946264569709994	0.963513396212543	no	0.0223208512663047	0.963513396212543	4	4	Cal33	human
A1L0T0	ILVBL	ilvB acetolactate synthase like	10994	A1L0T0	Cal33-HSC6	-3.15915333088583	0.0658630391588106	0.123212641998621	no	-3.15915333088583	0.123212641998621	2	4	HSC6	human
A1L170	C1orf226	chromosome 1 open reading frame 226	400793	A1L170	Cal33-HSC6	0.153658218556808	0.747568022431123	0.809060701366654	no	0.153658218556808	0.809060701366654	4	4	Cal33	human
A1L188	NDUFAF8	NADH:ubiquinone oxidoreductase complex assembly factor 8	284184	A1L188	Cal33-HSC6	Inf	NA	0	yes	3.5722771843066	0.0145403	2	0	Cal33	human
A1L390	PLEKHG3	pleckstrin homology and RhoGEF domain containing G3	26030	A1L390	Cal33-HSC6	-0.377435101678814	0.0378514276787056	0.079708297439814	no	-0.377435101678814	0.079708297439814	4	4	HSC6	human
A2AJT9	BCLAF3	BCLAF1 and THRAP3 family member 3	256643	A2AJT9	Cal33-HSC6	1.65679498134063	0.0035352019609034	0.0140877134462033	no	1.65679498134063	0.0140877134462033	4	4	Cal33	human
A2RU67	FAM234B	family with sequence similarity 234 member B	57613	A2RU67	Cal33-HSC6	0.376949250886145	0.0904291406234947	0.156198950271463	no	0.376949250886145	0.156198950271463	4	4	Cal33	human
A3KN83	SBNO1	strawberry notch homolog 1	55206	A3KN83	Cal33-HSC6	-0.438413612285983	0.0584192914698567	0.112052424120496	no	-0.438413612285983	0.112052424120496	2	4	HSC6	human
A5YM69	ARHGEF35	Rho guanine nucleotide exchange factor 35	445328	A5YM69	Cal33-HSC6	1.78177143466922	0.00216493709678334	0.0100777188832721	no	1.78177143466922	0.0100777188832721	4	3	Cal33	human
A6ND36	FAM83G	family with sequence similarity 83 member G	644815	A6ND36	Cal33-HSC6	-0.984371235003324	0.0112881241648781	0.0317223189240706	no	-0.984371235003324	0.0317223189240706	4	4	HSC6	human
A6NDB9	PALM3	paralemmin 3	342979	A6NDB9	Cal33-HSC6	-2.41354998758321	0.000231255164180322	0.0023067065744106	no	-2.41354998758321	0.0023067065744106	3	4	HSC6	human
A6NFI3	ZNF316	zinc finger protein 316	100131017	A6NFI3	Cal33-HSC6	0.609364854041903	0.00184597138182818	0.00908434757301535	no	0.609364854041903	0.00908434757301535	4	4	Cal33	human
A6NHR9	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1	23347	A6NHR9	Cal33-HSC6	-0.146066450638678	0.433811643395676	0.534748847298425	no	-0.146066450638678	0.534748847298425	4	4	HSC6	human
A6NKD9	CCDC85C	coiled-coil domain containing 85C	317762	A6NKD9	Cal33-HSC6	0.345980733050407	0.259915318103652	0.355510625384064	no	0.345980733050407	0.355510625384064	4	4	Cal33	human
A6NKF1	A6NKF1	NA	NA	A6NKF1	Cal33-HSC6	0.798054364908831	0.113776488664224	0.186541884607049	no	0.798054364908831	0.186541884607049	4	4	Cal33	human
A7E2V4	ZSWIM8	zinc finger SWIM-type containing 8	23053	A7E2V4	Cal33-HSC6	1.29449158022436	0.0957859653643904	0.163266870299903	no	1.29449158022436	0.163266870299903	4	1	Cal33	human
A7KAX9	ARHGAP32	Rho GTPase activating protein 32	9743	A7KAX9	Cal33-HSC6	1.15205899316791	0.000398751085525006	0.00323059403641634	no	1.15205899316791	0.00323059403641634	4	4	Cal33	human
A8CG34	A8CG34	NA	NA	A8CG34	Cal33-HSC6	0.570587872939682	0.022987851185903	0.0544504125687137	no	0.570587872939682	0.0544504125687137	4	4	Cal33	human
A8MW92	PHF20L1	PHD finger protein 20 like 1	51105	A8MW92	Cal33-HSC6	0.652730447281916	0.231071886027011	0.324683532705208	no	0.652730447281916	0.324683532705208	4	2	Cal33	human
B2RTY4	MYO9A	myosin IXA	4649	B2RTY4	Cal33-HSC6	-1.21870561684024	0.00853911525523099	0.0262691236450777	no	-1.21870561684024	0.0262691236450777	3	4	HSC6	human
C9JI98	TMEM238	transmembrane protein 238	388564	C9JI98	Cal33-HSC6	Inf	NA	0	yes	7.16688347061575	0.016516	4	0	Cal33	human
C9JLW8	MCRIP1	MAPK regulated corepressor interacting protein 1	348262	C9JLW8	Cal33-HSC6	-0.00316748370056239	0.994954229617543	0.995889838561159	no	-0.00316748370056239	0.995889838561159	4	4	HSC6	human
H7BZ55	H7BZ55	NA	NA	H7BZ55	Cal33-HSC6	Inf	NA	0	yes	2.4380326042606	0.0408578	2	0	Cal33	human
O00116	AGPS	alkylglycerone phosphate synthase	8540	O00116	Cal33-HSC6	0.239591788005249	0.111817008296513	0.184275591523625	no	0.239591788005249	0.184275591523625	4	4	Cal33	human
O00139	KIF2A	kinesin family member 2A	3796	O00139	Cal33-HSC6	1.29064648431975	0.000970771521269231	0.0058319557051344	no	1.29064648431975	0.0058319557051344	4	3	Cal33	human
