Protein	Gene	ProteinName	EntrezID	ProteinRef	Cal33.HSC6_log2FC	Cal33.HSC6_adj.pvalue	NumBR_Cal33	NumBR_HSC6
A0AVK6	E2F8	E2F transcription factor 8	79733	A0AVK6	-0.197852010726254	0.786219863306159	3	4
A0FGR8	ESYT2	extended synaptotagmin 2	57488	A0FGR8	-0.592044641886387	0.0494747232457531	4	4
A0JLT2	MED19	mediator complex subunit 19	219541	A0JLT2	-0.628616165676391	0.305643373646403	4	4
A0MZ66	SHTN1	shootin 1	57698	A0MZ66	0.372621394671688	0.442598690700196	4	4
A1A4S6	ARHGAP10	Rho GTPase activating protein 10	79658	A1A4S6	3.4375816681475	0.253557451632311	1	2
A1A5D9	BICDL2	BICD family like cargo adaptor 2	146439	A1A5D9	-0.480127147314155	0.122265670901037	2	4
A1KXE4	FAM168B	family with sequence similarity 168 member B	130074	A1KXE4	0.0223208512663047	0.963513396212543	4	4
A1L0T0	ILVBL	ilvB acetolactate synthase like	10994	A1L0T0	-3.15915333088583	0.123212641998621	2	4
A1L170	C1orf226	chromosome 1 open reading frame 226	400793	A1L170	0.153658218556808	0.809060701366654	4	4
A1L188	NDUFAF8	NADH:ubiquinone oxidoreductase complex assembly factor 8	284184	A1L188	Inf	0	2	0
A1L390	PLEKHG3	pleckstrin homology and RhoGEF domain containing G3	26030	A1L390	-0.377435101678814	0.079708297439814	4	4
A2AJT9	BCLAF3	BCLAF1 and THRAP3 family member 3	256643	A2AJT9	1.65679498134063	0.0140877134462033	4	4
A2RU67	FAM234B	family with sequence similarity 234 member B	57613	A2RU67	0.376949250886145	0.156198950271463	4	4
A3KN83	SBNO1	strawberry notch homolog 1	55206	A3KN83	-0.438413612285983	0.112052424120496	2	4
A5YM69	ARHGEF35	Rho guanine nucleotide exchange factor 35	445328	A5YM69	1.78177143466922	0.0100777188832721	4	3
A6ND36	FAM83G	family with sequence similarity 83 member G	644815	A6ND36	-0.984371235003324	0.0317223189240706	4	4
A6NDB9	PALM3	paralemmin 3	342979	A6NDB9	-2.41354998758321	0.0023067065744106	3	4
A6NFI3	ZNF316	zinc finger protein 316	100131017	A6NFI3	0.609364854041903	0.00908434757301535	4	4
A6NHR9	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1	23347	A6NHR9	-0.146066450638678	0.534748847298425	4	4
A6NKD9	CCDC85C	coiled-coil domain containing 85C	317762	A6NKD9	0.345980733050407	0.355510625384064	4	4
A6NKF1	A6NKF1	NA	NA	A6NKF1	0.798054364908831	0.186541884607049	4	4
A7E2V4	ZSWIM8	zinc finger SWIM-type containing 8	23053	A7E2V4	1.29449158022436	0.163266870299903	4	1
A7KAX9	ARHGAP32	Rho GTPase activating protein 32	9743	A7KAX9	1.15205899316791	0.00323059403641634	4	4
A8CG34	A8CG34	NA	NA	A8CG34	0.570587872939682	0.0544504125687137	4	4
A8MW92	PHF20L1	PHD finger protein 20 like 1	51105	A8MW92	0.652730447281916	0.324683532705208	4	2
B2RTY4	MYO9A	myosin IXA	4649	B2RTY4	-1.21870561684024	0.0262691236450777	3	4
C9JI98	TMEM238	transmembrane protein 238	388564	C9JI98	Inf	0	4	0
C9JLW8	MCRIP1	MAPK regulated corepressor interacting protein 1	348262	C9JLW8	-0.00316748370056239	0.995889838561159	4	4
H7BZ55	H7BZ55	NA	NA	H7BZ55	Inf	0	2	0
