Protein	Gene	ProteinName	EntrezID	ProteinRef	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
A0AVK6	E2F8	E2F transcription factor 8	79733	A0AVK6	Cal33-HSC6	-0.197852010726254	0.518241824913308	-0.381775459283609	5	0.718314567323372	0.786219863306159	NA	0.40625	0.28125
A0FGR8	ESYT2	extended synaptotagmin 2	57488	A0FGR8	Cal33-HSC6	-0.592044641886387	0.188798243596001	-3.13585884386336	6	0.0201737785498226	0.0494747232457531	NA	0.614583333333333	0.447916666666667
A0JLT2	MED19	mediator complex subunit 19	219541	A0JLT2	Cal33-HSC6	-0.628616165676391	0.45189032644392	-1.39108126217967	6	0.213593795035279	0.305643373646403	NA	0.025	0.025
A0MZ66	SHTN1	shootin 1	57698	A0MZ66	Cal33-HSC6	0.372621394671688	0.361030142582563	1.03210605077518	6	0.341818524004956	0.442598690700196	NA	0.535714285714286	0.392857142857143
A1A4S6	ARHGAP10	Rho GTPase activating protein 10	79658	A1A4S6	Cal33-HSC6	3.4375816681475	0.935452438555525	3.67477973915555	1	0.169144480925574	0.253557451632311	NA	0.625	0
A1A5D9	BICDL2	BICD family like cargo adaptor 2	146439	A1A5D9	Cal33-HSC6	-0.480127147314155	0.190192856935618	-2.52442260477049	4	0.0650496377218457	0.122265670901037	NA	0.25	0
A1KXE4	FAM168B	family with sequence similarity 168 member B	130074	A1KXE4	Cal33-HSC6	0.0223208512663047	0.317657404465361	0.0702670580082094	6	0.946264569709994	0.963513396212543	NA	0	0
A1L0T0	ILVBL	ilvB acetolactate synthase like	10994	A1L0T0	Cal33-HSC6	-3.15915333088583	1.25724358669157	-2.51276153986924	4	0.0658630391588106	0.123212641998621	NA	0.25	0
A1L170	C1orf226	chromosome 1 open reading frame 226	400793	A1L170	Cal33-HSC6	0.153658218556808	0.455912706183247	0.337034297296042	6	0.747568022431123	0.809060701366654	NA	0.425	0.425
A1L188	NDUFAF8	NADH:ubiquinone oxidoreductase complex assembly factor 8	284184	A1L188	Cal33-HSC6	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.75	0
A1L390	PLEKHG3	pleckstrin homology and RhoGEF domain containing G3	26030	A1L390	Cal33-HSC6	-0.377435101678814	0.142240724927075	-2.6534953465143	6	0.0378514276787056	0.079708297439814	NA	0.424242424242424	0.242424242424242
A2AJT9	BCLAF3	BCLAF1 and THRAP3 family member 3	256643	A2AJT9	Cal33-HSC6	1.65679498134063	0.356957999024387	4.6414283637539	6	0.0035352019609034	0.0140877134462033	NA	0.402777777777778	0.402777777777778
A2RU67	FAM234B	family with sequence similarity 234 member B	57613	A2RU67	Cal33-HSC6	0.376949250886145	0.187000414315352	2.01576692899979	6	0.0904291406234947	0.156198950271463	NA	0	0
A3KN83	SBNO1	strawberry notch homolog 1	55206	A3KN83	Cal33-HSC6	-0.438413612285983	0.166939382974187	-2.62618445375333	4	0.0584192914698567	0.112052424120496	NA	0.4375	0.1875
A5YM69	ARHGEF35	Rho guanine nucleotide exchange factor 35	445328	A5YM69	Cal33-HSC6	1.78177143466922	0.30776414172358	5.78940556456877	5	0.00216493709678334	0.0100777188832721	NA	0.4375	0.3125
A6ND36	FAM83G	family with sequence similarity 83 member G	644815	A6ND36	Cal33-HSC6	-0.984371235003324	0.272999208286686	-3.60576589646956	6	0.0112881241648781	0.0317223189240706	NA	0.427083333333333	0.260416666666667
A6NDB9	PALM3	paralemmin 3	342979	A6NDB9	Cal33-HSC6	-2.41354998758321	0.257095153170277	-9.38776930572739	5	0.000231255164180322	0.0023067065744106	NA	0.291666666666667	0.166666666666667
A6NFI3	ZNF316	zinc finger protein 316	100131017	A6NFI3	Cal33-HSC6	0.609364854041903	0.11517395033131	5.29082185936144	6	0.00184597138182818	0.00908434757301535	NA	0.21875	0.21875
A6NHR9	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1	23347	A6NHR9	Cal33-HSC6	-0.146066450638678	0.174173501060567	-0.838626138587437	6	0.433811643395676	0.534748847298425	NA	0	0
A6NKD9	CCDC85C	coiled-coil domain containing 85C	317762	A6NKD9	Cal33-HSC6	0.345980733050407	0.278133504815399	1.24393763088715	6	0.259915318103652	0.355510625384064	NA	0.166666666666667	0.166666666666667
