Protein	Cal33	HSC6
A0AVK6	21.6359780571206	21.961271804325
A0FGR8	23.3799012824694	23.87873192165
A0JLT2	25.3681826859332	25.9706594619418
A0MZ66	23.7503393219373	23.5338896995863
A1A4S6	25.0392851902114	21.6017035220639
A1A5D9	24.9573306352592	25.4576835432082
A1KXE4	24.6920805121551	24.628110856424
A1L0T0	25.1732751034575	28.3966243429291
A1L170	22.994155000382	22.9888128923313
A1L188	25.2200048416517	NA
A1L390	22.8959972356887	23.2797898034075
A2AJT9	23.4117051368499	21.7500659016862
A2RU67	27.0019398730733	26.6768591682907
A3KN83	21.8978166144087	22.3218723977721
A5YM69	23.7392750948686	21.9029528361322
A6ND36	23.6545111691736	24.4726015703762
A6NDB9	21.3057115795281	23.9322412038837
A6NFI3	26.357563838748	25.7277793265868
A6NHR9	23.8389967520402	24.0172144708146
A6NKD9	23.2698715850645	23.1062333101752
A6NKF1	23.7582500147203	23.0938391616148
A7E2V4	24.3789563002397	23.0879499121014
A7KAX9	25.1457024186286	23.9183884324596
A8CG34	23.0031503776069	22.5061011206994
A8MW92	24.3451366570726	23.5163297433858
B2RTY4	21.2410966431046	22.2965188005976
C9JI98	25.1150055311155	NA
C9JLW8	22.9863016314844	23.3852599525087
H7BZ55	22.6249106815597	NA
O00116	26.2659182281421	25.9197363166053
O00139	24.960585673524	23.5860346649173
O00148	25.3630922000023	25.3662450020954
O00151	24.3877823252052	23.8821707922831
O00159	23.7019095052034	23.9926326843641
O00161	24.0679117919756	24.8446885461743
O00178	25.6464307153308	23.7554912569503
O00192	23.1501734247104	23.8234485826702
O00193	25.0475918224382	26.9069398648315
O00203	22.6806091284654	22.9295524466766
O00233	NA	22.7449335019453
O00257	23.3717892616302	23.3166448492834
O00264	25.828601487168	26.7312990261423
O00267	23.6907526506439	25.1553375987062
O00268	23.6527811974526	24.1285399110533
O00273	24.3451317028658	24.1962700809866
O00303	26.5706282286169	25.4712435110448
O00308	24.6764536330151	25.9041578114618
O00401	22.3068141925801	NA
O00418	23.2456489051636	22.1701421119493
O00425	23.5851103207038	25.2601892257875
O00429	25.9543048385275	25.3107552232921
O00443	23.9878434469724	24.7730501469517
O00458	23.070950246291	NA
O00472	23.5977068856611	21.5907147306148
O00479	22.112969561608	NA
O00488	25.1552571958722	24.3881445190555
O00499	23.7091547790554	24.5357697900962
O00505	24.586427207873	25.5852922575109
O00512	22.6383566931219	23.2484960508255
O00515	23.4597003265685	24.5548010129508
O00559	26.9069900915907	26.9499915920677
O00560	23.5405861709935	22.3363352929097
O00562	22.2646970666864	22.5478370320498
O00567	25.3839247703506	25.0750352474315
O00571	24.7279004103102	24.9622758903822
O00592	NA	22.9858576516971
O00712	24.3902618275084	21.9012692926044
O00716	20.3672860324027	22.2460076475853
O00767	23.992449264167	23.5700139344718
O14494	24.4280866776573	23.3186281483975
O14497	24.3281710098272	24.1630863770309
O14519	24.9760923619053	25.0299944620104
O14523	24.5450612904705	23.7282813345102
O14524	24.2595432957669	25.0808790519566
O14530	23.0285223599063	21.780537134118
O14545	26.4849233188412	25.7293980955467
O14578	23.9629515326029	24.5562572940959
O14579	22.5965447174204	24.0820099150878
O14595	24.0658856542904	24.2012167189755
O14607	24.8160180806353	24.7673511774674
O14613	23.6531565617949	NA
O14617	24.0769031328864	24.6160366679876
O14618	NA	22.7773256417063
O14639	23.9282754559026	23.3809268820027
O14646	24.7466090461827	24.586194936243
O14647	22.5999348528845	23.4711591408967
O14653	21.7538181835236	24.6763973410915
O14662	24.0404624788379	24.667319304112
O14681	23.7780885018162	22.9979110373587
O14683	25.8514469600811	23.0520577527262
O14684	NA	25.1135941751897
O14686	23.6436003655484	23.6778609443438
O14733	23.5608984574894	21.7840339660044
O14737	25.0075359600062	26.6476069622238
O14745	26.8771409389203	27.2825211236199
O14757	24.591101088484	NA
O14818	20.7705192215668	22.0762097064874
O14828	24.9997369919924	24.3213699347483
O14867	22.9074908444012	25.3760460296308
O14874	24.5748323485775	25.652498310707
O14879	NA	24.5002308969848
O14893	25.331743064516	24.865301116435
O14896	25.4970122740574	24.465313875283
O14908	24.7842171087882	24.4538379203494
O14924	25.5193351717729	23.6840818705389
O14929	25.1766480174271	24.1401980019234
O14936	22.0629226097595	21.9714632265924
O14939	22.702449818683	23.4591825575191
O14965	22.3935623497864	23.6626511430139
O14974	24.8011529318771	24.9735408808627
O14976	25.312847177035	25.2962814110608
O14978	24.3973561142412	23.3418120924154
O14980	23.7053764833376	NA
O15013	21.9643115101951	20.1838144364903
O15014	23.5841987574768	23.9737701846064
O15020	23.3565852300478	23.4757924691448
O15021	23.9514536495858	21.3408478390829
O15027	25.08417341804	23.0330015627395
O15033	NA	24.697593726412
O15042	21.5482288049054	20.6207802829248
O15047	24.8768648160735	25.5371558669587
O15055	23.1874338730741	22.963986402996
O15075	23.419300375476	22.2034154654249
O15085	23.7239646014431	23.1139837502637
O15119	21.8875146215736	23.838700377026
O15127	24.2725202782754	24.8439374279271
O15155	25.0846087288561	24.0246097728186
O15156	21.9013591133222	22.3655921158566
O15164	22.7984050587412	22.6724631328172
O15169	21.6122373912557	22.0976039825068
O15194	23.5022452347791	24.7408040501297
O15213	25.0963200425315	26.108232721344
O15231	23.3536399165232	25.8019156309263
O15234	24.0177734923987	24.3499456227465
O15258	23.0318021854977	22.8200676669823
O15265	22.8184251988718	23.4579028542742
O15320	24.448714917069	24.1176604955072
O15344	NA	24.6937281334262
O15350	21.9288303661375	23.4586424238344
O15372	22.9787281414793	22.2727097343251
O15400	23.8206648397596	24.5617230974171
O15409	23.3521153361484	NA
O15417	23.2894828185296	24.2230397465622
O15427	23.9457674609277	24.1820782486311
O15439	23.2363071683883	24.8112122847896
O15440	24.1459650993559	24.2488649077846
O15446	25.0599472602611	24.3374405503558
O15504	25.8833876857206	23.5882880069963
O15523	23.2573330689269	24.0804245350467
O15525	21.6030464095561	23.5166098826839
O15530	25.6749610225195	24.7745981789212
O15541	22.6075577000757	21.7722362867445
O43150	25.0786183595999	23.7124944558695
O43156	24.0582062779888	23.5574933872793
O43159	25.6903286444756	25.2910470594405
O43166	24.088415566686	24.4283098598831
O43169	25.6191515925352	26.1389378876966
O43172	23.8163752877072	24.302930938636
O43189	23.2200742623291	23.6527275726952
O43194	NA	24.9664231503459
O43237	24.4521308015824	24.6310241554536
O43255	20.897604855124	21.7616287655784
O43290	23.2866505200532	23.4024048471736
O43295	24.5444366199405	NA
O43296	NA	23.8110494434667
O43303	24.2706788960986	24.199036416174
O43306	22.7986962448219	23.6343854340895
O43314	24.0156911119422	23.2382684932999
O43318	24.9781702406185	24.3555107566563
O43353	24.5477951244036	22.9576477723602
O43374	24.3342133681254	NA
O43379	23.7702891135574	22.8105704228502
O43390	25.073215534542	25.0382984663174
O43395	25.1118287362496	26.1814030167696
O43399	23.7190465267197	24.282332570661
O43426	21.910745835118	23.606996865448
O43432	24.6823469901794	24.4938019653905
O43463	24.258597263871	23.7744033378589
O43474	24.394953172914	25.5906306749491
O43482	23.5674215073508	24.9235260941838
O43491	23.1303306253259	24.5527181279006
O43493	24.6573733586676	24.2621096617643
O43502	22.954640506767	18.5640578101225
O43524	23.1032859907124	22.6582745689095
O43572	25.3337176194886	24.5305982957149
O43583	NA	25.4819325929319
O43598	23.5900417724386	22.7603119521996
O43609	24.9301130257359	NA
O43639	24.0678306727767	23.5992794820566
O43663	22.9471796287023	24.0013453620303
O43683	23.4996632955617	23.0599917846938
O43684	22.0585518163883	24.0862961737141
O43709	23.7737388856403	NA
O43719	22.0415369725275	24.9289654886669
O43741	23.8299640487773	24.2367609032116
O43760	23.5887057760614	24.1267974459119
O43765	25.3179361656546	25.156882230624
O43808	24.9913692552261	24.1960577125535
O43815	24.6471254908458	24.358773346982
O43818	NA	25.6178904649909
O43823	23.0210580508488	23.7859359618449
O43847	24.774103940265	24.706900247847
O43896	23.6847107650445	23.0901613557293
O43900	22.8236298718054	21.0815664247523
O43933	23.447009599563	23.7225739173404
O60218	24.0855862881427	NA
O60231	23.5322371001874	25.783943150233
O60237	25.5160345363497	NA
O60238	23.8584710006134	23.6344705212318
O60244	23.2324464720531	24.2735571460149
O60245	22.7185811857586	25.5358337005215
O60248	23.132278424038	24.1177694390246
O60256	27.8316798661901	26.7957308990216
O60264	24.9663559329168	25.6346813658053
O60271	24.6112472000284	24.4746368162837
O60287	21.9384646604777	24.0971617026241
O60291	23.9903987497424	23.2471855754945
O60292	24.0512924732186	24.4008976178222
O60293	23.6385105098404	24.9466535358075
O60303	23.4545628948668	23.8160195795357
O60318	24.9821463758507	24.0560933191661
O60333	22.204733450361	22.649792109888
O60336	21.8706149573973	25.2922322572684
O60341	24.2397661000108	24.8956761565584
O60343	24.1289101920594	22.8562396163333
O60353	25.2012887276376	25.02770021955
O60437	25.6368499808058	24.7732803567297
O60447	21.3377906027093	24.5419320931122
