Protein	Cal33_Cal33-1	Cal33_Cal33-2	Cal33_Cal33-3	Cal33_Cal33-4	HSC6_HSC6-1	HSC6_HSC6-2	HSC6_HSC6-3	HSC6_HSC6-4
A0AVK6	21.6359780571206	22.7788384120951	21.3579220507452	NA	22.9645537799108	21.6012953476252	22.2212922064313	21.7012514022187
A0FGR8	23.5608950734099	23.33869487538	23.4211076895588	23.1917353537007	23.7457582154653	24.0117056278347	24.4406476566455	23.6825000596494
A0JLT2	26.2043329325673	25.0000941265296	24.3868031365851	25.7362712453368	25.8769933637595	26.452588280922	26.0643255601241	25.4480588989187
A0MZ66	23.8353648068769	23.6653138369977	24.6579083866974	23.2077811802737	23.4188218022843	23.6489575968882	22.944936908953	23.8631663240334
A1A4S6	NA	25.0392851902114	NA	NA	NA	NA	22.1417872392781	21.0616198048498
A1A5D9	24.8031333712325	NA	25.1115278992859	NA	25.3296429684085	25.1817052795149	25.5857241180079	25.6527587643621
A1KXE4	24.0415334692998	24.8258945307054	24.9283599896156	24.5582664936049	25.099969331844	23.9085800334683	24.7114405199327	24.5447811929154
A1L0T0	NA	NA	23.2201219755655	27.1264282313496	27.64217742668	28.8942876248353	28.4067636708977	28.3864850149605
A1L170	23.5867288087785	23.5843884410897	22.2056339033273	22.4039215596743	23.1744600715085	22.0139539824716	22.9382444504415	23.039381334221
A1L188	25.910543520113	NA	NA	24.5294661631904	NA	NA	NA	NA
A1L390	23.2386308001503	22.7237111381978	22.9876284360761	22.8043660353013	23.2874435211943	23.5532503479185	23.1512468617072	23.2721360856207
A2AJT9	22.8881481866426	23.4143399574442	23.5528600183997	23.4090703162557	22.3283706956246	21.9549366027508	21.5451952006216	20.8087360543826
A2RU67	26.7017303940013	27.0318499753213	27.5811210093433	26.9720297708252	26.6442544698304	26.7002904635479	26.6534278730336	26.7809613395347
A3KN83	21.760984817792	22.0346484110253	NA	NA	22.5632320827903	22.2220527126376	22.1379440284441	22.4216920829066
A5YM69	24.2607643557533	23.1210881870749	23.51883791513	23.9597122746071	21.7731072759134	NA	22.1239276333707	21.9029528361322
A6ND36	23.8527745856234	22.707519623417	23.5466910769935	23.7623312613537	24.4173668214924	24.6142253923411	24.2473729543073	24.5278363192601
A6NDB9	21.3057115795281	21.2831871144995	NA	21.7514817541627	23.3930211625131	23.7158513162532	24.1838703109727	24.1486310915142
A6NFI3	26.4285208453809	26.286606832115	26.5787143510261	26.1879855811518	25.6138662851139	25.9749432552186	25.7630215127369	25.6925371404367
A6NHR9	23.9338462600763	24.1348482116867	23.5181869264152	23.744147244004	24.2116761584336	23.6691893446742	24.0540338879917	23.9803950536374
A6NKD9	24.2832513575944	23.1399069955366	23.1627389287219	23.3770042414072	23.3299918341439	23.0444875684007	23.1679790519498	23.036520136564
A6NKF1	23.8922098280408	23.0633105163683	23.6242902013998	25.0649213709744	23.1960664605279	22.9916118627016	22.9351786121947	23.3296575217237
A7E2V4	24.925285940019	24.1383849744648	23.8465674288048	24.6195276260145	23.0879499121014	NA	NA	NA
A7KAX9	25.419590593232	25.0892177138268	25.2021871234304	24.6831601648084	23.9138874069018	23.9228894580175	23.8556715247681	24.0934712329387
A8CG34	22.9226796785475	23.0836210766663	23.4253291562555	22.7206334233391	22.6240921961349	22.6784174848305	22.1792921168203	22.3881100452639
A8MW92	23.4095778422036	24.5763896063219	24.4761896639917	24.2140836501536	NA	NA	23.905060355726	23.1275991310456
B2RTY4	21.5591552353866	NA	20.5510670101937	21.2410966431046	22.333474853695	22.0720506012098	22.2595627475002	22.6781594498691
C9JI98	25.0126646046278	25.2173464576031	25.6747340601148	24.5593306522713	NA	NA	NA	NA
C9JLW8	24.5240364169327	22.7550532390161	23.0888810686917	22.8837221942771	23.7769013758401	23.0873982128268	23.6831216921906	22.7169415728623
H7BZ55	22.8919340376122	NA	22.3578873255072	NA	NA	NA	NA	NA
O00116	26.2611980802956	25.7840877152156	26.2706383759885	26.3140802522138	25.8550473956808	25.9620541530023	25.8774184802083	25.9771172428011
O00139	24.9600789475175	24.9610923995305	25.332168224589	24.8321568080933	24.0556075122351	NA	23.5505406546861	23.5860346649173
O00148	NA	25.3630922000023	23.6836688834366	25.8083613898564	25.9028181056105	24.882394015732	25.8500959884588	24.6381083642852
O00151	24.5149132713157	24.2606513790946	25.0083635831728	24.1038182287529	23.5207154037039	24.0185143288804	23.7458272556857	24.0446399919147
O00159	24.7037426493561	23.6264498376617	23.7773691727452	23.6024204309583	24.0006487667945	23.9846166019336	24.0511839355111	23.966313448627
O00161	24.1114494769875	24.3947046836251	23.3412505716364	24.0243741069638	24.8380218516092	24.9697395998065	24.8513552407394	24.689493672885
O00178	26.0139256989047	25.9613520448247	25.3315093858369	25.264236538579	23.9947839575046	23.059150229161	23.5161985563959	24.0407040222591
O00192	23.2729673357648	23.0273795136561	22.396601243944	23.3882921994956	23.9285153629176	24.0097190611004	23.5808767563334	23.7183818024229
O00193	25.8020795173704	24.8784823746866	25.1634780424962	24.9317056023802	26.9391340750974	26.8747456545657	26.7858530841619	27.0835495111282
O00203	23.2339420105474	NA	22.158491426967	22.6806091284654	22.8511410025784	23.0806553862899	22.3139938690022	23.0079638907748
O00233	NA	NA	NA	NA	22.7078458843145	NA	NA	22.782021119576
O00257	23.2588177905116	23.5536509586732	23.0827596794829	23.4847607327487	23.5848618867321	22.9453566714787	23.5267112888682	23.1065784096987
O00264	26.0100450537176	26.0253965424932	25.1976391502551	25.6471579206184	26.7676115886593	26.2908322810402	26.6949864636253	26.7995945125985
O00267	23.705848871973	24.2697409048142	23.6756564293148	23.3611414299007	25.0325980783033	24.6584589947211	25.2780771191091	25.4668770592885
O00268	24.2016167008793	24.0656236119042	22.4599054738935	23.2399387830011	24.1889180858416	NA	24.1285399110533	24.0605800399236
O00273	25.0402400985559	24.0449940848374	24.5177882332665	24.172475172465	24.1802668631636	24.3283537057946	23.679715854477	24.2122732988096
O00303	26.7006306645263	27.8060535394488	26.4406257927075	25.9127174267721	25.550938753725	25.373177254667	25.5943469326308	25.3915482683645
O00308	24.5887780526563	25.1057886697924	24.4006889264375	24.7641292133738	26.2802550581949	25.9269501015486	25.881365521375	25.7090665001567
O00401	22.0091719986384	NA	22.6044563865218	NA	NA	NA	NA	NA
O00418	23.4765942426305	23.0147035676967	23.5831393484601	22.8043817124937	22.1609365714804	22.1793476524182	22.0402819316638	23.0740629493641
O00425	21.8296290849442	NA	23.5851103207038	23.8003913546437	25.0919121826258	25.4284662689492	24.7727871057573	25.7940039446717
O00429	26.1699513197142	25.7386583573408	26.239849299149	25.6004815103053	25.412056909514	25.2094535370702	25.4316563071096	25.1177073524423
O00443	24.4280176063721	24.0692665884094	23.1426583204512	23.9064203055354	24.9710703903275	24.3138253782197	24.8191813405303	24.7269189533731
O00458	24.3373511351575	23.070950246291	22.4095831569327	NA	NA	NA	NA	NA
O00472	23.7400031260587	23.4554106452635	24.2753823161719	23.0890797784782	21.4813626513528	21.6784897687965	21.502939692433	22.7551597143134
