RUN	PROTEIN	ABUNDANCE	NumMeasuredFeature	MissingPercentage	more50missing	NumImputedFeature	originalRUN	GROUP	GROUP_ORIGINAL	SUBJECT_ORIGINAL	SUBJECT_NESTED	SUBJECT	residuals	fitted
1	A0AVK6	21.6359780571206	2	0.5	TRUE	2	1	1	Cal33	Cal33-1	1.1	1	-0.288268116199712	21.9242461733203
2	A0AVK6	22.7788384120951	3	0.25	FALSE	1	2	1	Cal33	Cal33-2	1.2	2	0.854592238774831	21.9242461733203
3	A0AVK6	21.3579220507452	3	0.25	FALSE	1	3	1	Cal33	Cal33-3	1.3	3	-0.566324122575119	21.9242461733203
5	A0AVK6	22.9645537799108	4	0	FALSE	0	5	2	HSC6	HSC6-1	2.5	5	0.842455595864305	22.1220981840465
6	A0AVK6	21.6012953476252	2	0.5	TRUE	2	6	2	HSC6	HSC6-2	2.6	6	-0.520802836421279	22.1220981840465
7	A0AVK6	22.2212922064313	3	0.25	FALSE	1	7	2	HSC6	HSC6-3	2.7	7	0.0991940223847898	22.1220981840465
8	A0AVK6	21.7012514022187	2	0.5	TRUE	2	8	2	HSC6	HSC6-4	2.8	8	-0.420846781827816	22.1220981840465
1	A0FGR8	23.5608950734099	9	0.55	TRUE	11	1	1	Cal33	Cal33-1	1.1	1	0.182786825397569	23.3781082480124
2	A0FGR8	23.33869487538	8	0.6	TRUE	12	2	1	Cal33	Cal33-2	1.2	2	-0.0394133726323811	23.3781082480124
3	A0FGR8	23.4211076895588	7	0.65	TRUE	13	3	1	Cal33	Cal33-3	1.3	3	0.0429994415464782	23.3781082480124
4	A0FGR8	23.1917353537007	8	0.6	TRUE	12	4	1	Cal33	Cal33-4	1.4	4	-0.186372894311666	23.3781082480124
5	A0FGR8	23.7457582154653	10	0.5	TRUE	10	5	2	HSC6	HSC6-1	2.5	5	-0.224394674433406	23.9701528898987
6	A0FGR8	24.0117056278347	11	0.45	FALSE	9	6	2	HSC6	HSC6-2	2.6	6	0.0415527379359366	23.9701528898987
7	A0FGR8	24.4406476566455	12	0.4	FALSE	8	7	2	HSC6	HSC6-3	2.7	7	0.470494766746799	23.9701528898987
8	A0FGR8	23.6825000596494	9	0.55	TRUE	11	8	2	HSC6	HSC6-4	2.8	8	-0.287652830249329	23.9701528898987
1	A0JLT2	26.2043329325673	5	0	FALSE	0	1	1	Cal33	Cal33-1	1.1	1	0.87245757231261	25.3318753602547
2	A0JLT2	25.0000941265296	5	0	FALSE	0	2	1	Cal33	Cal33-2	1.2	2	-0.331781233725105	25.3318753602547
3	A0JLT2	24.3868031365851	4	0.2	FALSE	1	3	1	Cal33	Cal33-3	1.3	3	-0.945072223669598	25.3318753602547
4	A0JLT2	25.7362712453368	5	0	FALSE	0	4	1	Cal33	Cal33-4	1.4	4	0.404395885082093	25.3318753602547
5	A0JLT2	25.8769933637595	5	0	FALSE	0	5	2	HSC6	HSC6-1	2.5	5	-0.0834981621715691	25.9604915259311
6	A0JLT2	26.452588280922	5	0	FALSE	0	6	2	HSC6	HSC6-2	2.6	6	0.492096754990886	25.9604915259311
7	A0JLT2	26.0643255601241	5	0	FALSE	0	7	2	HSC6	HSC6-3	2.7	7	0.103834034193074	25.9604915259311
8	A0JLT2	25.4480588989187	5	0	FALSE	0	8	2	HSC6	HSC6-4	2.8	8	-0.512432627012391	25.9604915259311
1	A0MZ66	23.8353648068769	3	0.5	TRUE	3	1	1	Cal33	Cal33-1	1.1	1	-0.00622724583455414	23.8415920527114
2	A0MZ66	23.6653138369977	2	0.666666666666667	TRUE	4	2	1	Cal33	Cal33-2	1.2	2	-0.176278215713679	23.8415920527114
3	A0MZ66	24.6579083866974	5	0.166666666666667	FALSE	1	3	1	Cal33	Cal33-3	1.3	3	0.816316333985996	23.8415920527114
4	A0MZ66	23.2077811802737	3	0.5	TRUE	3	4	1	Cal33	Cal33-4	1.4	4	-0.633810872437763	23.8415920527114
5	A0MZ66	23.4188218022843	3	0.5	TRUE	3	5	2	HSC6	HSC6-1	2.5	5	-0.0501488557554319	23.4689706580397
6	A0MZ66	23.6489575968882	3	0.5	TRUE	3	6	2	HSC6	HSC6-2	2.6	6	0.179986938848479	23.4689706580397
7	A0MZ66	22.944936908953	3	0.5	TRUE	3	7	2	HSC6	HSC6-3	2.7	7	-0.524033749086713	23.4689706580397
8	A0MZ66	23.8631663240334	4	0.333333333333333	FALSE	2	8	2	HSC6	HSC6-4	2.8	8	0.394195665993666	23.4689706580397
2	A1A4S6	25.0392851902114	1	0	FALSE	0	2	1	Cal33	Cal33-2	1.2	2	0	25.0392851902114
7	A1A4S6	22.1417872392781	1	0	FALSE	0	7	2	HSC6	HSC6-3	2.7	7	0.540083717214124	21.6017035220639
8	A1A4S6	21.0616198048498	1	0	FALSE	0	8	2	HSC6	HSC6-4	2.8	8	-0.540083717214124	21.6017035220639
1	A1A5D9	24.8031333712325	1	0	FALSE	0	1	1	Cal33	Cal33-1	1.1	1	-0.154197264026656	24.9573306352592
3	A1A5D9	25.1115278992859	1	0	FALSE	0	3	1	Cal33	Cal33-3	1.3	3	0.154197264026656	24.9573306352592
5	A1A5D9	25.3296429684085	1	0	FALSE	0	5	2	HSC6	HSC6-1	2.5	5	-0.107814814164866	25.4374577825734
6	A1A5D9	25.1817052795149	1	0	FALSE	0	6	2	HSC6	HSC6-2	2.6	6	-0.255752503058487	25.4374577825734
7	A1A5D9	25.5857241180079	1	0	FALSE	0	7	2	HSC6	HSC6-3	2.7	7	0.148266335434586	25.4374577825734
8	A1A5D9	25.6527587643621	1	0	FALSE	0	8	2	HSC6	HSC6-4	2.8	8	0.215300981788767	25.4374577825734
1	A1KXE4	24.0415334692998	1	0	FALSE	0	1	1	Cal33	Cal33-1	1.1	1	-0.546980151506655	24.5885136208064
2	A1KXE4	24.8258945307054	1	0	FALSE	0	2	1	Cal33	Cal33-2	1.2	2	0.237380909899007	24.5885136208064
3	A1KXE4	24.9283599896156	1	0	FALSE	0	3	1	Cal33	Cal33-3	1.3	3	0.339846368809171	24.5885136208064
4	A1KXE4	24.5582664936049	1	0	FALSE	0	4	1	Cal33	Cal33-4	1.4	4	-0.030247127201522	24.5885136208064
5	A1KXE4	25.099969331844	1	0	FALSE	0	5	2	HSC6	HSC6-1	2.5	5	0.533776562303947	24.5661927695401
