RUN	Protein	LogIntensities	NumMeasuredFeature	MissingPercentage	more50missing	NumImputedFeature	originalRUN	GROUP	GROUP_ORIGINAL	SUBJECT_ORIGINAL	SUBJECT_NESTED	SUBJECT
1	A0AVK6	21.6359780571206	2	0.5	TRUE	2	1	1	Cal33	Cal33-1	1.1	1
2	A0AVK6	22.7788384120951	3	0.25	FALSE	1	2	1	Cal33	Cal33-2	1.2	2
3	A0AVK6	21.3579220507452	3	0.25	FALSE	1	3	1	Cal33	Cal33-3	1.3	3
5	A0AVK6	22.9645537799108	4	0	FALSE	0	5	2	HSC6	HSC6-1	2.5	5
6	A0AVK6	21.6012953476252	2	0.5	TRUE	2	6	2	HSC6	HSC6-2	2.6	6
7	A0AVK6	22.2212922064313	3	0.25	FALSE	1	7	2	HSC6	HSC6-3	2.7	7
8	A0AVK6	21.7012514022187	2	0.5	TRUE	2	8	2	HSC6	HSC6-4	2.8	8
1	A0FGR8	23.5608950734099	9	0.55	TRUE	11	1	1	Cal33	Cal33-1	1.1	1
2	A0FGR8	23.33869487538	8	0.6	TRUE	12	2	1	Cal33	Cal33-2	1.2	2
3	A0FGR8	23.4211076895588	7	0.65	TRUE	13	3	1	Cal33	Cal33-3	1.3	3
4	A0FGR8	23.1917353537007	8	0.6	TRUE	12	4	1	Cal33	Cal33-4	1.4	4
5	A0FGR8	23.7457582154653	10	0.5	TRUE	10	5	2	HSC6	HSC6-1	2.5	5
6	A0FGR8	24.0117056278347	11	0.45	FALSE	9	6	2	HSC6	HSC6-2	2.6	6
7	A0FGR8	24.4406476566455	12	0.4	FALSE	8	7	2	HSC6	HSC6-3	2.7	7
8	A0FGR8	23.6825000596494	9	0.55	TRUE	11	8	2	HSC6	HSC6-4	2.8	8
1	A0JLT2	26.2043329325673	5	0	FALSE	0	1	1	Cal33	Cal33-1	1.1	1
2	A0JLT2	25.0000941265296	5	0	FALSE	0	2	1	Cal33	Cal33-2	1.2	2
3	A0JLT2	24.3868031365851	4	0.2	FALSE	1	3	1	Cal33	Cal33-3	1.3	3
4	A0JLT2	25.7362712453368	5	0	FALSE	0	4	1	Cal33	Cal33-4	1.4	4
5	A0JLT2	25.8769933637595	5	0	FALSE	0	5	2	HSC6	HSC6-1	2.5	5
6	A0JLT2	26.452588280922	5	0	FALSE	0	6	2	HSC6	HSC6-2	2.6	6
7	A0JLT2	26.0643255601241	5	0	FALSE	0	7	2	HSC6	HSC6-3	2.7	7
8	A0JLT2	25.4480588989187	5	0	FALSE	0	8	2	HSC6	HSC6-4	2.8	8
1	A0MZ66	23.8353648068769	3	0.5	TRUE	3	1	1	Cal33	Cal33-1	1.1	1
2	A0MZ66	23.6653138369977	2	0.666666666666667	TRUE	4	2	1	Cal33	Cal33-2	1.2	2
3	A0MZ66	24.6579083866974	5	0.166666666666667	FALSE	1	3	1	Cal33	Cal33-3	1.3	3
4	A0MZ66	23.2077811802737	3	0.5	TRUE	3	4	1	Cal33	Cal33-4	1.4	4
5	A0MZ66	23.4188218022843	3	0.5	TRUE	3	5	2	HSC6	HSC6-1	2.5	5
6	A0MZ66	23.6489575968882	3	0.5	TRUE	3	6	2	HSC6	HSC6-2	2.6	6
7	A0MZ66	22.944936908953	3	0.5	TRUE	3	7	2	HSC6	HSC6-3	2.7	7
8	A0MZ66	23.8631663240334	4	0.333333333333333	FALSE	2	8	2	HSC6	HSC6-4	2.8	8
2	A1A4S6	25.0392851902114	1	0	FALSE	0	2	1	Cal33	Cal33-2	1.2	2
7	A1A4S6	22.1417872392781	1	0	FALSE	0	7	2	HSC6	HSC6-3	2.7	7
8	A1A4S6	21.0616198048498	1	0	FALSE	0	8	2	HSC6	HSC6-4	2.8	8
1	A1A5D9	24.8031333712325	1	0	FALSE	0	1	1	Cal33	Cal33-1	1.1	1
3	A1A5D9	25.1115278992859	1	0	FALSE	0	3	1	Cal33	Cal33-3	1.3	3
5	A1A5D9	25.3296429684085	1	0	FALSE	0	5	2	HSC6	HSC6-1	2.5	5
6	A1A5D9	25.1817052795149	1	0	FALSE	0	6	2	HSC6	HSC6-2	2.6	6
7	A1A5D9	25.5857241180079	1	0	FALSE	0	7	2	HSC6	HSC6-3	2.7	7
8	A1A5D9	25.6527587643621	1	0	FALSE	0	8	2	HSC6	HSC6-4	2.8	8
1	A1KXE4	24.0415334692998	1	0	FALSE	0	1	1	Cal33	Cal33-1	1.1	1
2	A1KXE4	24.8258945307054	1	0	FALSE	0	2	1	Cal33	Cal33-2	1.2	2
3	A1KXE4	24.9283599896156	1	0	FALSE	0	3	1	Cal33	Cal33-3	1.3	3
4	A1KXE4	24.5582664936049	1	0	FALSE	0	4	1	Cal33	Cal33-4	1.4	4
5	A1KXE4	25.099969331844	1	0	FALSE	0	5	2	HSC6	HSC6-1	2.5	5
6	A1KXE4	23.9085800334683	1	0	FALSE	0	6	2	HSC6	HSC6-2	2.6	6
7	A1KXE4	24.7114405199327	1	0	FALSE	0	7	2	HSC6	HSC6-3	2.7	7
8	A1KXE4	24.5447811929154	1	0	FALSE	0	8	2	HSC6	HSC6-4	2.8	8
3	A1L0T0	23.2201219755655	1	0	FALSE	0	3	1	Cal33	Cal33-3	1.3	3
4	A1L0T0	27.1264282313496	1	0	FALSE	0	4	1	Cal33	Cal33-4	1.4	4
5	A1L0T0	27.64217742668	1	0	FALSE	0	5	2	HSC6	HSC6-1	2.5	5
