desiredFC	numSample	FDR	power	CV
1.25	3	0.05	0.01	0.063
1.275	3	0.05	0.01	0.061
1.3	3	0.05	0.01	0.06
1.325	3	0.05	0.01	0.059
1.35	3	0.05	0.01	0.058
1.375	3	0.05	0.01	0.057
1.4	3	0.05	0.01	0.056
1.425	3	0.05	0.01	0.055
1.45	3	0.05	0.01	0.054
1.475	3	0.05	0.01	0.053
1.5	3	0.05	0.01	0.052
1.525	3	0.05	0.01	0.051
1.55	3	0.05	0.01	0.05
1.575	3	0.05	0.02	0.05
1.6	3	0.05	0.03	0.049
1.625	3	0.05	0.04	0.048
1.65	3	0.05	0.05	0.047
1.675	3	0.05	0.07	0.047
1.7	3	0.05	0.09	0.046
1.725	3	0.05	0.12	0.045
1.75	3	0.05	0.14	0.045
1.775	3	0.05	0.17	0.044
1.8	3	0.05	0.2	0.043
1.825	3	0.05	0.23	0.043
1.85	3	0.05	0.26	0.042
1.875	3	0.05	0.29	0.042
1.9	3	0.05	0.33	0.041
1.925	3	0.05	0.36	0.041
1.95	3	0.05	0.4	0.04
1.975	3	0.05	0.43	0.04
2	3	0.05	0.46	0.039
1.25	2	0.05	0.01	0.094
1.275	2	0.05	0.01	0.092
1.3	2	0.05	0.01	0.09
1.325	2	0.05	0.01	0.089
1.35	2	0.05	0.01	0.087
1.375	2	0.05	0.01	0.085
1.4	2	0.05	0.01	0.084
1.425	2	0.05	0.01	0.082
1.45	2	0.05	0.01	0.081
1.475	2	0.05	0.01	0.08
1.5	2	0.05	0.01	0.078
1.525	2	0.05	0.01	0.077
1.55	2	0.05	0.01	0.076
1.575	2	0.05	0.01	0.075
1.6	2	0.05	0.01	0.073
1.625	2	0.05	0.01	0.072
1.65	2	0.05	0.01	0.071
1.675	2	0.05	0.01	0.07
1.7	2	0.05	0.01	0.069
1.725	2	0.05	0.02	0.068
1.75	2	0.05	0.02	0.067
1.775	2	0.05	0.03	0.066
1.8	2	0.05	0.04	0.065
1.825	2	0.05	0.05	0.064
1.85	2	0.05	0.06	0.063
1.875	2	0.05	0.07	0.063
1.9	2	0.05	0.08	0.062
1.925	2	0.05	0.1	0.061
1.95	2	0.05	0.12	0.06
1.975	2	0.05	0.13	0.059
2	2	0.05	0.15	0.059
