desiredFC	numSample	FDR	power	CV
1.25	60	0.05	0.95	0.003
1.275	50	0.05	0.95	0.004
1.3	43	0.05	0.95	0.004
1.325	37	0.05	0.95	0.005
1.35	33	0.05	0.95	0.005
1.375	29	0.05	0.95	0.006
1.4	26	0.05	0.95	0.006
1.425	24	0.05	0.95	0.007
1.45	21	0.05	0.95	0.008
1.475	20	0.05	0.95	0.008
1.5	18	0.05	0.95	0.009
1.525	17	0.05	0.95	0.009
1.55	15	0.05	0.95	0.01
1.575	14	0.05	0.95	0.011
1.6	13	0.05	0.95	0.011
1.625	13	0.05	0.95	0.011
1.65	12	0.05	0.95	0.012
1.675	11	0.05	0.95	0.013
1.7	11	0.05	0.95	0.013
1.725	10	0.05	0.95	0.014
1.75	9	0.05	0.95	0.015
1.775	9	0.05	0.95	0.015
1.8	9	0.05	0.95	0.014
1.825	8	0.05	0.95	0.016
1.85	8	0.05	0.95	0.016
1.875	8	0.05	0.95	0.016
1.9	7	0.05	0.95	0.018
1.925	7	0.05	0.95	0.017
1.95	7	0.05	0.95	0.017
1.975	6	0.05	0.95	0.02
2	6	0.05	0.95	0.02
1.25	52	0.05	0.9	0.004
1.275	44	0.05	0.9	0.004
1.3	37	0.05	0.9	0.005
1.325	33	0.05	0.9	0.005
1.35	29	0.05	0.9	0.006
1.375	25	0.05	0.9	0.007
1.4	23	0.05	0.9	0.007
1.425	21	0.05	0.9	0.008
1.45	19	0.05	0.9	0.009
1.475	17	0.05	0.9	0.009
1.5	16	0.05	0.9	0.01
1.525	14	0.05	0.9	0.011
1.55	13	0.05	0.9	0.012
1.575	12	0.05	0.9	0.012
1.6	12	0.05	0.9	0.012
1.625	11	0.05	0.9	0.013
1.65	10	0.05	0.9	0.014
1.675	10	0.05	0.9	0.014
1.7	9	0.05	0.9	0.015
1.725	9	0.05	0.9	0.015
1.75	8	0.05	0.9	0.017
1.775	8	0.05	0.9	0.017
1.8	7	0.05	0.9	0.019
1.825	7	0.05	0.9	0.018
1.85	7	0.05	0.9	0.018
1.875	7	0.05	0.9	0.018
1.9	6	0.05	0.9	0.021
1.925	6	0.05	0.9	0.02
1.95	6	0.05	0.9	0.02
1.975	6	0.05	0.9	0.02
2	5	0.05	0.9	0.023
1.25	43	0.05	0.8	0.004
1.275	36	0.05	0.8	0.005
1.3	31	0.05	0.8	0.006
1.325	27	0.05	0.8	0.007
1.35	24	0.05	0.8	0.007
1.375	21	0.05	0.8	0.008
1.4	19	0.05	0.8	0.009
1.425	17	0.05	0.8	0.01
1.45	16	0.05	0.8	0.01
1.475	14	0.05	0.8	0.011
1.5	13	0.05	0.8	0.012
1.525	12	0.05	0.8	0.013
1.55	11	0.05	0.8	0.014
1.575	10	0.05	0.8	0.015
1.6	10	0.05	0.8	0.015
1.625	9	0.05	0.8	0.016
1.65	9	0.05	0.8	0.016
1.675	8	0.05	0.8	0.018
1.7	8	0.05	0.8	0.017
1.725	7	0.05	0.8	0.019
1.75	7	0.05	0.8	0.019
1.775	7	0.05	0.8	0.019
1.8	6	0.05	0.8	0.022
1.825	6	0.05	0.8	0.021
1.85	6	0.05	0.8	0.021
1.875	5	0.05	0.8	0.025
1.9	5	0.05	0.8	0.025
1.925	5	0.05	0.8	0.024
1.95	5	0.05	0.8	0.024
1.975	5	0.05	0.8	0.024
2	4	0.05	0.8	0.029
