query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
Cal33-HSC6	TRUE	0.0065	850	2043	572	0.28	0.673	GO:0032502	BP	3	developmental process	1	BAD,ALS2,KDM1A,MYCBP2,CX3CL1,FARP2,IFRD1,CSDE1,RANBP9,PTBP1,PIK3C2A,BRCA1,PGM3,TACC3,NUDCD3,WWTR1,PHLDB1,EHD2,FAS,CD44,PRKCH,VRK2,PNPLA6,SLC4A7,VCL,TBC1D23,TRIO,CTNNA1,DSG2,YTHDC2,MAP4,VAMP3,FOXC1,KMT2C,RC3H2,PKP2,WNK1,HDAC7,NCKAP1,EPN1,ANKS1A,SPEN,COL17A1,CDK13,SP100,EVI5,TP53BP1,ZFY,HDAC4,VPS35,TCOF1,MAP4K4,TCF3,EPN2,TFRC,MARK2,MCM2,TP63,IGF2BP2,CLASP1,TEAD2,CELSR1,FRYL,FSCN1,WDR62,DLG1,MLH1,LRCH4,SIRT6,CAPZB,ARAF,PCM1,TP73,CIC,CARMIL1,RIF1,RBL1,PKP1,ERC1,KAT6A,GRHL2,FAT1,APOB,MECOM,CTTN,CHERP,MAST2,SRRT,ADD1,GNAS,KDM2B,EFNB1,TNRC6A,OSBPL8,MAP3K20,SCFD1,HNRNPC,DPYSL2,HIVEP1,HSP90AB1,CDC5L,DSP,HNRNPH3,ABLIM1,RAB18,SETD1A,ARVCF,MAPK1,HIRA,SH3BP1,TRIOBP,MICALL1,CBY1,MIEF1,MYH9,TNRC6B,EP300,DDHD1,ACIN1,CHD8,MYBL2,NDRG3,FAM83D,MID1,NKAP,ELF4,RBBP7,SCML2,EMD,PGK1,CDK16,FGD1,ARHGEF7,NUP93,AXIN1,TSC2,TJP1,TRPS1,FBL,PRKD2,LIG1,DBP,LSR,ERF,SIPA1L3,CAV1,MET,COBL,HSPB1,PTPRZ1,WASL,GLI3,LIMK1,KANK1,SETX,EXOSC3,ANKRD26,SH3PXD2A,RAPGEFL1,ALDOC,SUPT6H,NFKB1,NSD2,EXPH5,KRT18,NUP107,CNOT2,TIMELESS,ATN1,PTPN6,SUDS3,PPARD,MAPK14,CAP2,RAB23,MDFI,PPP2R5D,DPYSL3,CSNK1A1,HES1,ECT2,GORASP1,FOXP1,EIF4G1,NEK4,NCL,SPTBN1,RTN4,SOS1,ATF2,SUMO1,MSH6,ERRFI1,HDAC1,ARHGEF2,MEF2D,DOCK7,ETV3,ECE1,CDC20,PRRC2C,IRF6,STMN1,RPS6KA1,CENPF,KMT2A,KIF14,CAMSAP2,PHF3,TNFAIP3,FOXO3,PPL,TJP2,PTBP3,TRIM32,NEK6,IRF2BPL,BCL11A,CD274,KIAA1217,ELF1,PTK2B,ZMYM2,TWIST1,CIT,ZC3H13,OBSL1,NCOA3,PLCG1,SRSF6,POF1B,USP9X,TRERF1,CDKN1A,RREB1,ATXN1,RUNX2,EFNB2,THOC2,MED1,VASP,FOXA2,RRBP1,OVOL2,BCL11B,MACF1,SMARCA4,CDC42EP1,PODXL,FOXP2,SOX15,FOXA1,AFDN,MAP1S,JUND,CAMSAP1,PAK4,TRIM28,DNMT1,PLXNA3,CASZ1,LATS1,DIAPH1,MAP1B,RAF1,PPARG,MYBBP1A,UTP3,ITGB4,UNK,NASP,DCLK1,STARD13,RRAS2,NUMB,SORT1,NOTCH2,PUM1,TUT4,DSG3,DSC3,DZIP1,TBX3,NHSL1,AHI1,DHX9,SCEL,IGF2BP3,DBNL,CDK9,KLF4,DAB2IP,MYC,FOXP4,TFAP2A,HMGA1,NUMA1,SDCBP,YAP1,TACC2,CEP55,AP1AR,SHROOM3,FGD4,SYCP3,BRCA2,RB1,SLC12A6,TLE3,PML,PDPK1,TCF25,SSH2,MINK1,TP53,ARHGDIA,EIF4A3,CSNK1D,FOXK2,RETREG3,ERBB2,GRB7,EPHA2,ARHGEF19,ARNT,VASH2,SNAPIN,PARP1,SOX13,ASXL2,SNRNP200,ZC3H8,PKP4,LNPK,HSPD1,RHBDD1,DIS3L2,GOLGA4,LIMD1,PHLDB2,OSBPL11,CAMK2D,METTL14,PHIP,EGFR,PURB,SH3KBP1,MSN,ZMYM3,TAF1,RBMX,DOCK5,TACC1,MTDH,UHRF2,NFIB,SEC16A,PARD3,CAMK2G,TCF7L2,PAK1,ST14,CHEK1,CDC42EP2,ALDOA,HMGA2,DLG2,PTS,ANK3,DLG5,EPS8,ADAM17,BICD1,PTPN14,ZFP36L2,MBNL1,GJA1,MARVELD2,CDYL,HNRNPU,TRIP12,TNIK,ENAH,SH3RF1,CXADR,FLCN,FZD7,GRIP1,TIAM1,PCDH1,NRG1,BRAF,FMNL2,EYA3,AUTS2,F11R,DMTN,EPB41,RUNX1,ARHGAP35,ZBTB7B,SHC1,LMNA,PTH1R,RECQL4,DVL3,RACGAP1,LARP4,LEMD2,RPL29,KIAA1522,ZNF281,FLVCR1,RBM15,PDLIM5,S100A9,HIPK1,CLASP2,PRKCI,IFI16,RYBP,ZNF513,ZNF148,SENP2,PRKCD,RNF168,SPRY1,NIPBL,RICTOR,SHROOM1,CGAS,MICALL2,FOXK1,OSR2,FZD6,BRWD3,MELK,ARHGAP12,ZNF22,DDX21,ZNF219,E2F7,NOLC1,FRS2,LEO1,MARF1,STIM1,RAB8A,ANKRD11,KMT2D,EVPL,CTNNB1,PAFAH1B2,IRF2BP2,TET2,MFF,MECP2,GPRIN1,SIN3A,PTK2,PTPN9,BNC1,FASN,ROBO1,SYAP1,CDK1,PA2G4,KIF5B,AKAP13,SOX7,JUNB,RSL1D1,BPTF,ZNF24,CFL1,SSH3,PHF8,VANGL1,DAG1,PEAK1,CHD2,JUP,SPTBN2,TNK1,ZHX3,ATR,SART1,KDF1,BAIAP2,BASP1,ANKLE2,DEAF1,ANO6,RPS6KA3,JUN,AURKB,CDC42EP4,FGD6,ZNF609,SCRIB,EHMT1,NPM1,SOX2,SETD2,AMIGO1,DDX41,BCOR,SMTN,PKP3,JAG2,ROBO2,NELFA,SP1,BRWD1,RNPC3,IRS2,BCL9L,SAPCD2,ARAP1,MAPT,TEAD1,SHTN1,NHS,BLOC1S5,BLOC1S3,IL1RAP,PRPF40A,NACA,HDAC2,NF1,TLE1,PDLIM7,FLNA,SND1,SVIL,HNRNPAB,SIPA1L1,TOPORS,SPTAN1,PHF2,KIF13B,MBP,RPS4X,ITSN2,ATL1,LDB1,CTR9,FOXJ3,MAP3K3,DMD,INF2,PHACTR4,CSNK2B,BAG6,PRRC2A,DCTN1,ADGRG1,VDAC1,CPNE1,FNIP1,TENM3,MCRIP1,EIF6,NME2,CEBPA,LYN,CUX1,EPPK1,GTF2I,SRGAP2,KMT2B,PRAG1
Cal33-HSC6	TRUE	0.00228	378	2043	271	0.133	0.717	GO:0009653	BP	3	anatomical structure morphogenesis	2	ALS2,MYCBP2,RANBP9,PIK3C2A,BRCA1,PHLDB1,EHD2,CD44,VRK2,VCL,VAMP3,FOXC1,PKP2,HDAC7,EPN1,SP100,VPS35,TCOF1,MAP4K4,EPN2,MARK2,IGF2BP2,CLASP1,CELSR1,FRYL,FSCN1,DLG1,SIRT6,CAPZB,CARMIL1,GRHL2,FAT1,CTTN,GNAS,KDM2B,EFNB1,MAP3K20,SCFD1,HSP90AB1,DSP,ABLIM1,MAPK1,HIRA,SH3BP1,TRIOBP,MIEF1,MYH9,DDHD1,SCML2,PGK1,FGD1,ARHGEF7,AXIN1,TSC2,PRKD2,LIG1,SIPA1L3,CAV1,MET,COBL,HSPB1,WASL,GLI3,LIMK1,KANK1,SH3PXD2A,NSD2,KRT18,TIMELESS,MAPK14,CAP2,RAB23,CSNK1A1,HES1,GORASP1,FOXP1,NCL,SPTBN1,RTN4,SOS1,ATF2,ERRFI1,HDAC1,ARHGEF2,DOCK7,ECE1,RPS6KA1,KIF14,TNFAIP3,FOXO3,PTBP3,PTK2B,ZMYM2,TWIST1,OBSL1,PLCG1,SRSF6,POF1B,USP9X,RREB1,EFNB2,MED1,VASP,FOXA2,MACF1,CDC42EP1,PODXL,FOXP2,FOXA1,MAP1S,CAMSAP1,PAK4,PLXNA3,DIAPH1,MAP1B,PPARG,ITGB4,UNK,DCLK1,STARD13,NOTCH2,TBX3,AHI1,IGF2BP3,DBNL,KLF4,DAB2IP,MYC,FOXP4,TFAP2A,AP1AR,SHROOM3,FGD4,RB1,SLC12A6,TLE3,PML,PDPK1,SSH2,MINK1,ARHGDIA,EIF4A3,CSNK1D,FOXK2,ERBB2,GRB7,EPHA2,ARHGEF19,VASH2,SOX13,GOLGA4,LIMD1,PHLDB2,PHIP,SH3KBP1,MSN,ZMYM3,DOCK5,MTDH,NFIB,PARD3,PAK1,CDC42EP2,ALDOA,HMGA2,ANK3,EPS8,ADAM17,BICD1,PTPN14,MBNL1,TNIK,ENAH,FZD7,GRIP1,TIAM1,NRG1,BRAF,FMNL2,EYA3,AUTS2,DMTN,EPB41,RUNX1,ARHGAP35,SHC1,DVL3,LARP4,ZNF281,PDLIM5,HIPK1,CLASP2,SPRY1,NIPBL,SHROOM1,MICALL2,FOXK1,OSR2,FZD6,BRWD3,ARHGAP12,ZNF22,E2F7,NOLC1,FRS2,LEO1,STIM1,RAB8A,ANKRD11,CTNNB1,MFF,MECP2,PTK2,ROBO1,KIF5B,AKAP13,SOX7,CFL1,SSH3,VANGL1,DAG1,PEAK1,JUP,SPTBN2,KDF1,BAIAP2,BASP1,DEAF1,CDC42EP4,FGD6,SCRIB,SOX2,SETD2,AMIGO1,BCOR,ROBO2,SP1,BRWD1,IRS2,BCL9L,SAPCD2,ARAP1,MAPT,SHTN1,PRPF40A,NACA,HDAC2,NF1,TLE1,PDLIM7,FLNA,SIPA1L1,TOPORS,SPTAN1,KIF13B,MBP,ITSN2,ATL1,CTR9,FOXJ3,MAP3K3,INF2,PHACTR4,CSNK2B,ADGRG1,CPNE1,TENM3,CUX1,GTF2I,SRGAP2,PRAG1
Cal33-HSC6	TRUE	0.00346	275	2043	202	0.099	0.735	GO:0030054	CC	7	cell junction	1	LASP1,BAIAP2L1,SAMD4A,NCAPH2,VIM,CD44,VCL,CDH1,CTNNA1,DSG2,LIMA1,SYNE2,PKP2,GDI2,PPP1R12A,PTPRU,NCKAP1,RPL18,SLC9A3R2,PKN2,COL17A1,CLASP1,HACD3,FSCN1,DLG1,TP73,EPB41L2,MAGI3,PKP1,GRHL2,FAT1,CTTN,ADD1,ASAP3,PXN,SLC9A1,SNAP23,TBC1D2,DSP,MISP,MAPK1,SH3BP1,TRIOBP,MYH9,PNN,FERMT1,ARHGEF7,TJP1,NDRG1,PPP1R13L,TJP3,SIPA1L3,CAV1,HSPB1,PDLIM1,ARHGAP21,GIT1,OSBP,EIF4G2,PPFIBP1,KRT18,RAB23,ERBIN,PRKAR2A,ECT2,ASH1L,ARHGEF2,DOCK7,IRF6,UBN1,TJP2,SORBS3,PTK2B,ADGRE5,OBSL1,POF1B,AHNAK,EFNB2,GTF2F1,VASP,FOXA2,NUP214,MACF1,CDC42EP1,PODXL,FLNC,PALLD,AJUBA,AFDN,MAP1S,PAK4,PLXNA3,UBA1,AKAP12,TNS4,ITGB4,Q8NI35,MPRIP,RRAS2,NUMB,DDB2,DSC3,APC,AHI1,FLNB,LMO7,TNS3,TLN1,HMGA1,MDC1,SDCBP,TRIM29,KIF23,PAK6,SHROOM3,GRB7,EPHA2,CNKSR1,RPS8,CGN,TP53BP2,PKP4,LIMD1,PHLDB2,RPS3A,G3BP1,EGFR,MSN,MTDH,PARD3,TNKS1BP1,PAK1,ANK3,DLG5,ADAM17,DST,GJA1,MARVELD2,ENAH,CXADR,FLCN,SLC16A1,TIAM1,PCDH1,RPL30,F11R,EPB41,ZYX,NFIA,PDLIM5,S100A9,CLASP2,MIOS,MICALL2,HNRNPK,AMOTL1,FRS2,PLEKHA7,CTNNB1,SNTB2,PTK2,PYM1,ESCO2,FRMD5,CFL1,DCP2,DAG1,PEAK1,JUP,SPTBN2,KDF1,BAIAP2,BASP1,RHOG,RPLP2,PLEC,CDC42EP4,SCRIB,NPM1,CLDN7,HCAR2,PKP3,SAPCD2,NHS,SLX4,AFAP1,PDLIM7,FLNA,IGF2R,PCBP2,SVIL,PARVA,OCLN,RPS4X,CTNND1,DMD,STARD10,PI4KA,CLDN23,EPPK1,PRAG1,MARCKS
Cal33-HSC6	TRUE	0.0498	163	1331	119	0.089	0.73	HPA:027020_03	hpa	4	lung; pneumocytes[Uncertain,High]	1	KDM1A,PTBP1,WIZ,PNPLA6,ZCCHC8,TRIO,PNKP,THRAP3,SZRD1,ZFR,CCAR1,SPEN,TP53BP1,NUCKS1,SLC6A15,XRCC1,NCBP3,RAB7A,SIRT6,EPB41L2,XPO1,PDS5B,ATRX,MECOM,SF3B2,XRN2,RCOR1,HNRNPC,HNRNPM,SUN2,TRIP11,DIDO1,NKAP,RBBP7,HTATSF1,CTCF,MCM4,HNRNPL,PRPF31,WASL,USP42,PHF14,RSRC2,CPSF6,PAK1IP1,SRSF3,LMNB1,NR3C1,ACAP2,NCL,SPTBN1,SUMO1,SRSF11,KDM3B,HNRNPA2B1,SDC4,NCOA5,SRSF6,SNRPC,GTF2F1,THOC2,SNRPD2,SMARCA4,ILF3,PHF10,DKC1,RBM39,ILKAP,RBM17,HNRNPA1,MDM2,TRA2B,CDK9,USP20,MYC,TGS1,PPIG,HNRNPD,SMARCC2,ANP32A,PELP1,NFIC,TAF1,RBMX,NFIB,TCF7L2,HNRNPU,BUB3,KAT6B,EMSY,SAFB,LMNA,LEMD2,NXF1,SCNM1,HNRNPK,MELK,NSD1,CDK12,SRRM2,COG7,HNRNPA3,MGMT,ZNF24,KDM2A,NPM1,EP400,HSF1,MCRS1,RALGAPA2,HDAC2,TLE1,HMGN1,RBM14,BCKDHA,PRKDC,C17ORF49,SRSF8,AATF
Cal33-HSC6	TRUE	0.0434	143	1331	106	0.08	0.741	HPA:027020_13	hpa	4	lung; pneumocytes[Supported,High]	2	KDM1A,PTBP1,WIZ,ZCCHC8,TRIO,PNKP,THRAP3,ZFR,CCAR1,SPEN,TP53BP1,NUCKS1,XRCC1,NCBP3,RAB7A,SIRT6,EPB41L2,XPO1,PDS5B,ATRX,MECOM,SF3B2,XRN2,RCOR1,HNRNPC,HNRNPM,SUN2,TRIP11,DIDO1,NKAP,RBBP7,HTATSF1,CTCF,MCM4,HNRNPL,PRPF31,WASL,PHF14,CPSF6,PAK1IP1,SRSF3,LMNB1,NR3C1,ACAP2,NCL,SPTBN1,SUMO1,SRSF11,KDM3B,HNRNPA2B1,SDC4,SRSF6,SNRPC,GTF2F1,THOC2,SNRPD2,SMARCA4,ILF3,PHF10,DKC1,RBM39,RBM17,HNRNPA1,MDM2,TRA2B,CDK9,MYC,TGS1,PPIG,HNRNPD,SMARCC2,ANP32A,PELP1,NFIC,TAF1,RBMX,NFIB,TCF7L2,HNRNPU,BUB3,KAT6B,EMSY,SAFB,LMNA,LEMD2,NXF1,HNRNPK,NSD1,CDK12,SRRM2,HNRNPA3,MGMT,ZNF24,KDM2A,NPM1,EP400,HSF1,MCRS1,HDAC2,TLE1,HMGN1,RBM14,BCKDHA,PRKDC,C17ORF49,SRSF8
Cal33-HSC6	TRUE	0.0211	440	1331	297	0.223	0.675	HPA:024010_02	hpa	1	kidney; cells in glomeruli[Uncertain,Medium]	1	LAS1L,KDM1A,CDC27,MSL3,TSR3,BAZ1B,PTBP1,PIK3C2A,WIZ,PNPLA6,ZCCHC8,EDC4,TRIO,ZFYVE16,PNKP,PLEKHA5,THRAP3,SZRD1,ZFR,CCAR1,U2AF2,LIMCH1,SPEN,PFKP,TP53BP1,ZFY,NUCKS1,SREBF1,XRCC1,NCBP3,ZNF638,FRYL,RAB7A,MLH1,UNG,TOP2B,SIRT6,EPB41L2,RIF1,OSTM1,XPO1,KAT6A,PDS5B,YTHDC1,CAD,ATRX,MECOM,CTTN,CHERP,SRRT,SF3B2,ESF1,RCOR1,EFNB1,SPAG7,HNRNPC,DPYSL2,CDC5L,PALMD,BCL7C,HNRNPM,MICALL1,SUN2,MTMR3,KIAA0930,EP300,TRIP11,PNN,MYBL2,DIDO1,CEP192,NKAP,STAG2,RBBP7,CTCF,ABCC1,INTS10,MCM4,HNRNPL,CDC37,PRPF31,SIPA1L3,TAF6,WASL,USP42,RSRC2,CPSF6,CHD4,PAK1IP1,SRSF3,DAP,LMNB1,NR3C1,STC2,PRKAR2A,NCL,SPTBN1,USP34,PRKD3,SUMO1,SRSF4,GON4L,C1ORF21,SRSF11,ETV3,ARID1A,FOXO3,TJP2,GLE1,AREL1,RBM25,CAAP1,KDM3B,AKAP1,GPSM2,HNRNPA2B1,CIT,ZC3H13,SDC4,NCOA3,NCOA5,VAPB,SRSF6,ARFGEF2,SNRPC,AHNAK,EFNB2,GTF2F1,THOC2,SNRPD2,HNRNPH2,HP1BP3,EPS15L1,SMARCA4,PSMA1,FXR2,CCNT1,ILF3,EPB41L4A,PHF10,PAK4,ZC3H4,DKC1,SNRPA1,ILKAP,RPA1,ZRANB2,SRRM1,RBM17,TUT4,HNRNPA1,NHSL1,MDM2,DHX9,WASHC4,SRSF1,TRA2B,WDR33,CDK9,USP20,MYC,TLN1,RPS6,TGS1,RMDN3,DBR1,PPIG,HNRNPD,SMARCC2,RB1,MFAP1,ANP32A,PML,DHX38,KSR1,PTRH2,RPRD1A,OSBPL1A,PELP1,RETREG3,NFIC,URB1,RERE,TP53BP2,MBOAT2,PARP1,GOLGA4,IQSEC1,PTPRG,METTL14,WTAP,MEPCE,TAF1,RBMX,MCPH1,NSD3,MTDH,PROSER2,ADD3,TCF7L2,VPS51,EIF4E,DST,SMARCA5,HNRNPU,PDE1C,FLCN,GRIP1,KAT6B,RER1,ZFAND2B,EMSY,USF1,DMTN,SON,RRP1B,SAFB,SHC1,CRTC2,LMNA,LEMD2,NXF1,ATXN7L2,PYGO2,ZNF513,DTX3L,GUCY1A1,ICE1,SERINC5,ZNF704,HNRNPK,MELK,NSD1,COG1,TERF2IP,PATL1,SP2,CDK12,SRRM2,TET2,HNRNPH1,IRS1,PGM2,ROBO1,ZNF768,HNRNPA3,MGMT,PYM1,PA2G4,RIOX2,ZNF24,TRMT112,KDM2A,PARP14,JUP,LEMD3,ZBTB4,TP53I11,TPRN,CAVIN1,EDC3,NPM1,RFX7,TNRC18,CBX6,HSF1,FAAP100,SP1,RASA3,LRCH3,BCL9L,MCRS1,SRSF10,RALGAPA2,HDAC2,TLE1,PCNX3,TRIM33,ZNF655,ZNF652,MAP3K3,ADGRG1,HMGN1,STARD10,CCNL2,WDR46,RBM14,BCKDHA,PRKDC,C17ORF49,GTF2I,SRSF8,RBM8A,LIN37,IKBKG,AATF,ARHGAP23
Cal33-HSC6	TRUE	0.048	192	1331	138	0.104	0.719	HPA:007030_03	hpa	6	cerebellum; cells in molecular layer[Uncertain,High]	1	WIZ,ZCCHC8,TRIO,PNKP,THRAP3,NOP58,ZFR,SPEN,TP53BP1,NUCKS1,XRCC1,ZNF638,TOP2B,SIRT6,KAT6A,PDS5B,YTHDC1,ATRX,MECOM,CHERP,SF3B2,XRN2,HNRNPC,CDC5L,HNRNPM,SUN2,KIAA0930,ACIN1,PNN,DIDO1,NKAP,RBBP7,HTATSF1,CTCF,HNRNPL,PRPF31,WASL,USP42,PHF14,RSRC2,CPSF6,CHD4,SRSF3,LMNB1,SUB1,ACAP2,NCL,ATF2,C1ORF21,SRSF11,ARID1A,KDM3B,AKAP1,HNRNPA2B1,ZC3H13,NCOA5,SRSF6,SNRPC,THOC2,SNRPD2,HNRNPH2,HP1BP3,SMARCA4,FXR2,ILF3,DKC1,ILKAP,MYBBP1A,ZRANB2,SRRM1,RBM17,PRRG4,HNRNPA1,NHSL1,MDM2,DHX9,SRSF1,TRA2B,CDK9,TGS1,RMDN3,PPIG,HNRNPD,SMARCC2,ANP32A,CRTC3,PTRH2,RPRD1A,TP53BP2,CDCA7,WTAP,TAF1,RBMX,MTDH,TCF7L2,HNRNPU,USP16,KAT6B,ZFAND2B,EMSY,RRP1B,SAFB,LMNA,NXF1,ATXN7L2,STK17A,HNRNPK,MELK,TERF2IP,CDK12,SRRM2,TET2,HNRNPH1,IRS1,HNRNPA3,PYM1,PA2G4,TANC2,TOMM20,EDC3,NPM1,TNRC18,EP400,HSF1,MCRS1,SRSF10,MSL1,HDAC2,TLE1,HMGN1,RBM14,PRKDC,C17ORF49,GTF2I,SRSF8,RBM8A,AATF,ARHGAP23
Cal33-HSC6	TRUE	0.0113	244	1331	174	0.131	0.713	HPA:003010_03	hpa	5	bone marrow; hematopoietic cells[Uncertain,High]	1	KDM1A,CDC27,TSR3,PTBP1,WIZ,ANK1,PNPLA6,ZCCHC8,RFC1,PNKP,THRAP3,NOP58,ZFR,CCAR1,SPEN,YBX1,XRCC1,NCBP3,TOP2B,SIRT6,EPB41L2,XPO1,PDS5B,YTHDC1,CAD,ATRX,CHERP,SRRT,SF3B2,XRN2,RCOR1,EFNB1,SPAG7,HNRNPC,HNRNPM,SUN2,EP300,TRIP11,DIDO1,NKAP,RBBP7,HTATSF1,CTCF,INTS10,MCM4,HNRNPL,PRPF31,WASL,USP42,PHF14,RSRC2,CPSF6,CHD4,PAK1IP1,SRSF3,MCM3,LMNB1,SUB1,NR3C1,PRKAR2A,ACAP2,FOXP1,NCL,NRBP1,ATF2,SUMO1,SRSF11,ETV3,ARID1A,RBM25,KDM3B,KIAA1191,HNRNPA2B1,ZC3H13,HJURP,SRSF6,SNRPC,THOC2,SNRPD2,HNRNPH2,EPS15L1,SMARCA4,FXR2,CCNT1,ILF3,RHBDF2,DKC1,ILKAP,MYBBP1A,RPA1,RBM17,HNRNPA1,MDM2,DHX9,WASHC4,SRSF1,TRA2B,WDR33,CDK9,USP20,TLN1,RPS6,TGS1,PPIG,HNRNPD,SMARCC2,DCAF5,ANP32A,PML,DHX38,PDPK1,PTRH2,PELP1,URB1,DTL,PARP1,CDCA7,GOLGA4,IQSEC1,WTAP,TAF1,MTDH,SEC16A,ADD3,TCF7L2,PTPN14,SMARCA5,HNRNPU,AHCTF1,USP16,KAT6B,RER1,ZFAND2B,USF1,SAFB,SHC1,LMNA,NXF1,SERINC5,HNRNPK,MELK,COG1,CDK12,SRRM2,TET2,HNRNPH1,IRS1,ZNF768,HNRNPA3,PYM1,TANC2,ZNF24,KDM2A,TOMM20,TPRN,EDC3,NPM1,RFX7,EP400,LRCH3,MCRS1,HDAC2,TLE1,TRIM33,RPS4X,MAP3K3,ADGRG1,HMGN1,RBM14,BCKDHA,PRKDC,C17ORF49,GTF2I,RBM8A
Cal33-HSC6	TRUE	0.0157	194	1331	141	0.106	0.727	HPA:003010_13	hpa	5	bone marrow; hematopoietic cells[Supported,High]	1	KDM1A,CDC27,PTBP1,WIZ,ANK1,ZCCHC8,RFC1,PNKP,THRAP3,NOP58,ZFR,CCAR1,SPEN,YBX1,XRCC1,NCBP3,TOP2B,SIRT6,EPB41L2,XPO1,PDS5B,YTHDC1,CAD,ATRX,SRRT,SF3B2,XRN2,RCOR1,HNRNPC,HNRNPM,SUN2,EP300,TRIP11,DIDO1,NKAP,RBBP7,HTATSF1,CTCF,MCM4,HNRNPL,PRPF31,WASL,PHF14,CPSF6,CHD4,PAK1IP1,SRSF3,MCM3,LMNB1,SUB1,NR3C1,ACAP2,FOXP1,NCL,NRBP1,ATF2,SUMO1,SRSF11,ETV3,ARID1A,RBM25,KDM3B,HNRNPA2B1,SRSF6,SNRPC,THOC2,SNRPD2,HNRNPH2,SMARCA4,FXR2,CCNT1,ILF3,DKC1,MYBBP1A,RPA1,RBM17,HNRNPA1,MDM2,DHX9,SRSF1,TRA2B,WDR33,CDK9,TLN1,RPS6,TGS1,PPIG,HNRNPD,SMARCC2,ANP32A,PML,PDPK1,PTRH2,PELP1,URB1,PARP1,GOLGA4,WTAP,TAF1,MTDH,SEC16A,ADD3,TCF7L2,SMARCA5,HNRNPU,USP16,KAT6B,RER1,USF1,SAFB,SHC1,LMNA,NXF1,SERINC5,HNRNPK,COG1,CDK12,SRRM2,TET2,HNRNPH1,ZNF768,HNRNPA3,PYM1,ZNF24,KDM2A,TOMM20,NPM1,RFX7,EP400,MCRS1,HDAC2,TLE1,TRIM33,RPS4X,HMGN1,RBM14,BCKDHA,PRKDC,C17ORF49,GTF2I,RBM8A
Cal33-HSC6	TRUE	0.0118	25	1296	24	0.019	0.96	REAC:R-HSA-111465	rea	2	Apoptotic cleavage of cellular proteins	1	VIM,CDH1,DSG2,PKP1,ADD1,CLSPN,DSP,ACIN1,TJP1,LMNB1,TJP2,DSG3,APC,DBNL,LMNA,PRKCD,CASP7,CTNNB1,FNTA,PTK2,PLEC,MAPT,SPTAN1,OCLN
