ComplexID	ComplexName	Organism	Synonyms	Cell.line	subunits.UniProt.IDs.	subunits.Entrez.IDs.	Protein.complex.purification.method	GO.ID	GO.description	FunCat.ID	FunCat.description	PubMed.ID	subunits.Protein.name.	subunits.Gene.name.	subunits.Gene.name.syn.	Disease.comment	Subunits.comment	Complex.comment	SWISSPROT.organism	Num.Uniprot.IDs	MyListOverlap	querysize	expected	FCEnrichment	pvalue	Comparisons
236	WICH complex	Human	WSTF-ISWI chromatin remodeling complex	None	O60264;Q9UIG0	8467;9031	MI:0096- pull down	GO:0006265;GO:0005515;GO:0003677;GO:0005524;GO:0005694	DNA topological change;protein binding;DNA binding;ATP binding;chromosome	10.01.09.05;16.01;16.03.01;16.19.03;70.10.03	DNA conformation modification (e.g. chromatin);protein binding;DNA binding;ATP binding;chromosome	11980720	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Tyrosine-protein kinase BAZ1B	SMARCA5;BAZ1B	SNF2H WCRF135;WBSC10 WBSCR10 WBSCR9 WSTF	None	None	WICH is a member of the ISWI-containing chromatin remodelling complexes.	Homo sapiens (Human);Homo sapiens (Human)	2	2	1158	0.656834940442428	3.04490500863558	0	Cal33-HSC6
240	BRCA1-CTIP-ZBRK1 repressor complex	Human	None	None	P38398;Q99708;Q9GZX5	672;5932;59348	MI:0006- anti bait coimmunoprecipitation	GO:0045892;GO:0003677;GO:0005634	negative regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04.03;16.03.01;70.10	transcription repression;DNA binding;nucleus	16843262	Breast cancer type 1 susceptibility protein;DNA endonuclease RBBP8 ;Zinc finger protein 350	BRCA1;RBBP8;ZNF350	RNF53;CTIP;ZBRK1	BRCA1 is involved in breast cancer.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
243	RalBP1-CDC2-CCNB1 complex	Human	None	None	P06493;P14635;Q15311	983;891;10928	MI:0019- coimmunoprecipitation; MI:0096- pull down	GO:0000278;GO:0006468;GO:0006470;GO:0046777;GO:0006464;GO:0050789;GO:0005634	mitotic cell cycle;protein phosphorylation;protein dephosphorylation;protein autophosphorylation;cellular protein modification process;regulation of biological process;nucleus	10.03.01.01;14.07.03;14.07;18;70.10	mitotic cell cycle;modification by phosphorylation, dephosphorylation, autophosphorylation;protein modification;REGULATION OF METABOLISM AND PROTEIN FUNCTION;nucleus	12775724	Cyclin-dependent kinase 1 ;G2/mitotic-specific cyclin-B1;RalA-binding protein 1	CDK1;CCNB1;RALBP1	CDC2 CDC28A CDKN1 P34CDC2;CCNB;RLIP1 RLIP76	None	None	The complex was only detected in mitotic cell extracts. The authors show that RLIP76 associates with a catalytically active cyclinB\u00b7p34cdc2(cdk1) complex.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
247	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex	Human	None	None	O95782;P14635;P49757;Q15311;Q9Y6I3	160;891;8650;10928;29924	MI:0019-coimmunoprecipitation	GO:0000278;GO:0006897;GO:0005634	mitotic cell cycle;endocytosis;nucleus	10.03.01.01;20.09.18.09.01;70.10	mitotic cell cycle;endocytosis;nucleus	12775724	AP-2 complex subunit alpha-1;G2/mitotic-specific cyclin-B1;Protein numb homolog;RalA-binding protein 1;Epsin-1	AP2A1;CCNB1;NUMB;RALBP1;EPN1	ADTAA CLAPA1;CCNB;None;RLIP1 RLIP76;None	None	Since the authors did not specify AP2A, we used isoform AP2A1.	RLIP, an effector of the RAL GTPases, is important for the mitotic cdk1 to facilitate the phosphorylation of Epsin.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	5	3	1158	1.64208735110607	1.82694300518135	0.0427705933540787	Cal33-HSC6
436	BASC (Ab C-20) complex (BRCA1-associated genome surveillance complex)	Human	None	None	P38398;P52701;Q92878	672;2956;10111	MI:0007- anti tag coimmunoprecipitation	GO:0006281;GO:0006974;GO:0005634	DNA repair;cellular response to DNA damage stimulus;nucleus	10.01.05.01;32.01.09;70.10	DNA repair;DNA damage response;nucleus	10783165	Breast cancer type 1 susceptibility protein;DNA mismatch repair protein Msh6 ;DNA repair protein RAD50	BRCA1;MSH6;RAD50	RNF53;GTBP;	BRCA1 is involved in breast cancer.	None	For isolation of the BASC complex (Ab C-20), polyclonal antibodies against the carboxy-terminal epitope of BRCA1 were used.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
559	Decapping complex	Human	None	None	P26196;Q6P2E9;Q8IU60;Q96F86;Q9NPI6	1656;23644;167227;80153;55802	MI:0019- coimmunoprecipitation	GO:0043488;GO:0005737	regulation of mRNA stability;cytoplasm	11.04.03.11;70.03	control of mRNA stability;cytoplasm	16364915	Probable ATP-dependent RNA helicase DDX6;Enhancer of mRNA-decapping protein 4 ;m7GpppN-mRNA hydrolase ;Enhancer of mRNA-decapping protein 3 ;mRNA-decapping enzyme 1A	DDX6;EDC4;DCP2;EDC3;DCP1A	HLR2 RCK;HEDLS;NUDT20;LSM16 YJDC YJEFN2;SMIF	None	None	Decapping is a key step in mRNA turnover. The decapping complex was found to be localized in cytoplasmic processing bodies (PBs), which are thought to be the sites of mRNA decay.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	5	4	1158	1.64208735110607	2.43592400690846	0.00379846580965113	Cal33-HSC6
826	PAR-3-VE-cadherin-beta-catenin complex	Human	None	HEK 293T cells	P33151;P35222;Q8TEW0	1003;1499;56288	MI:0019- coimmunoprecipitation	GO:0051211;GO:0007043;GO:0030054	anisotropic cell growth;cell-cell junction assembly;cell junction	40.01.03;42.06.04;70.06	directional cell growth (morphogenesis);intercellular junction (gap junction/adherens junction);cell junction	17057644	Cadherin-5;Catenin beta-1;Partitioning defective 3 homolog	CDH5;CTNNB1;PARD3	None;CTNNB;PAR3, PAR3A	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
847	RICH1-PAR3-aPKC polarity complex	Human	None	epithelium	P41743;Q68EM7;Q8TEW0	5584;55114;56288	MI:0007- anti tag coimmunoprecipitation	GO:0008104;GO:0005096;GO:0043547;GO:0007186;GO:0051211;GO:0007043;GO:0030054	protein localization;GTPase activator activity;positive regulation of GTPase activity;G-protein coupled receptor signaling pathway;anisotropic cell growth;cell-cell junction assembly;cell junction	18.01.03;18.02.01.01.01;30.05.02.24;40.01.03;42.06.04;70.06	regulation by localization;GTPase activator (GAP);G-protein coupled receptor signalling pathway;directional cell growth (morphogenesis);intercellular junction (gap junction/adherens junction);cell junction	16678097	Protein kinase C iota type;Rho GTPase-activating protein 17;Partitioning defective 3 homolog	PRKCI;ARHGAP17;PARD3	DXS1179E;RICH1;PAR3, PAR3A	None	None	Immunoblotting revealed aPKC and the 100 kDa isoform of Par-3, but not Par-6, in Rich1 immunoprecipitates. Par-3 and aPKC likely associate with Rich1 at lower levels than Pals1 and Patj since they were not identified by MS (see complex 846).	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	3	1158	0.985252410663642	3.04490500863558	0	Cal33-HSC6
921	Remodeling and spacing factor (RSF) complex	Human	None	None	O60264;Q96T23	8467;51773	MI:0091- chromatography technologies	GO:0009117;GO:0006265;GO:0006352;GO:0051276;GO:0005634	nucleotide metabolic process;DNA topological change;DNA-templated transcription, initiation;chromosome organization;nucleus	01.03;10.01.09.05;11.02.03.01.01;42.10.03;70.10	nucleotide/nucleoside/nucleobase metabolism;DNA conformation modification (e.g. chromatin);transcription initiation;organization of chromosome structure;nucleus	9836642	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Remodeling and spacing factor 1	SMARCA5;RSF1	SNF2H WCRF135;HBXAP XAP8	None	None	RSF facilitates transcription initiation by remodeling nucleosomes in the promoter region to allow the formation of preinitiation complexes.	Homo sapiens (Human);Homo sapiens (Human)	2	2	1158	0.656834940442428	3.04490500863558	0	Cal33-HSC6
930	Scrib-beta-PIX-GIT1 complex	Human	None	nontransformed mammary epithelial MCF10-2A cells	Q14155;Q14160;Q9Y2X7	8874;23513;28964	MI:0006-anti bait coimmunoprecipitation;MI:0069-mass spectrometry studies of complexes;MI:0096-pull down	GO:0006887;GO:0022008;GO:0048699;GO:0005886;GO:0030054	exocytosis;neurogenesis;generation of neurons;plasma membrane;cell junction	20.09.16.09.03;41.05.13;70.02;70.06	exocytosis;neurogenesis;eukaryotic plasma membrane / membrane attached;cell junction	15182672	Rho guanine nucleotide exchange factor 7;Protein scribble homolog;ARF GTPase-activating protein GIT1	ARHGEF7;SCRIB;GIT1	COOL1, KIAA0142, P85SPR, PAK3BP, PIXB;CRIB1, KIAA0147, LAP4, SCRB1, VARTUL;None	None	None	Yeast two-hybrid analysis showed that beta-PIX directly interacts with hScrib and hScrib PDZ domains. GIT1 had no affinity for Scrib but, as expected, directly bound to beta-PIX. The data highlight the important role of hScrib in the retention of beta-PIX at the plasma membrane upon membrane depolarization.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
