desiredFC	numSample	FDR	power	CV
1.25	3	0.05	0.01	0.081
1.275	3	0.05	0.01	0.079
1.3	3	0.05	0.01	0.078
1.325	3	0.05	0.01	0.076
1.35	3	0.05	0.01	0.075
1.375	3	0.05	0.01	0.073
1.4	3	0.05	0.01	0.072
1.425	3	0.05	0.01	0.071
1.45	3	0.05	0.01	0.07
1.475	3	0.05	0.01	0.068
1.5	3	0.05	0.01	0.067
1.525	3	0.05	0.01	0.066
1.55	3	0.05	0.01	0.065
1.575	3	0.05	0.01	0.064
1.6	3	0.05	0.01	0.063
1.625	3	0.05	0.01	0.062
1.65	3	0.05	0.01	0.061
1.675	3	0.05	0.02	0.06
1.7	3	0.05	0.03	0.059
1.725	3	0.05	0.04	0.058
1.75	3	0.05	0.05	0.058
1.775	3	0.05	0.06	0.057
1.8	3	0.05	0.08	0.056
1.825	3	0.05	0.09	0.055
1.85	3	0.05	0.11	0.054
1.875	3	0.05	0.13	0.054
1.9	3	0.05	0.15	0.053
1.925	3	0.05	0.18	0.052
1.95	3	0.05	0.2	0.052
1.975	3	0.05	0.22	0.051
2	3	0.05	0.25	0.05
1.25	2	0.05	0.01	0.121
1.275	2	0.05	0.01	0.119
1.3	2	0.05	0.01	0.116
1.325	2	0.05	0.01	0.114
1.35	2	0.05	0.01	0.112
1.375	2	0.05	0.01	0.11
1.4	2	0.05	0.01	0.108
1.425	2	0.05	0.01	0.106
1.45	2	0.05	0.01	0.104
1.475	2	0.05	0.01	0.102
1.5	2	0.05	0.01	0.101
1.525	2	0.05	0.01	0.099
1.55	2	0.05	0.01	0.098
1.575	2	0.05	0.01	0.096
1.6	2	0.05	0.01	0.094
1.625	2	0.05	0.01	0.093
1.65	2	0.05	0.01	0.092
1.675	2	0.05	0.01	0.09
1.7	2	0.05	0.01	0.089
1.725	2	0.05	0.01	0.088
1.75	2	0.05	0.01	0.086
1.775	2	0.05	0.01	0.085
1.8	2	0.05	0.01	0.084
1.825	2	0.05	0.01	0.083
1.85	2	0.05	0.01	0.082
1.875	2	0.05	0.02	0.081
1.9	2	0.05	0.02	0.08
1.925	2	0.05	0.03	0.079
1.95	2	0.05	0.04	0.078
1.975	2	0.05	0.04	0.077
2	2	0.05	0.05	0.076
