desiredFC	numSample	FDR	power	CV
1.25	77	0.05	0.95	0.003
1.275	65	0.05	0.95	0.004
1.3	55	0.05	0.95	0.004
1.325	48	0.05	0.95	0.005
1.35	42	0.05	0.95	0.005
1.375	38	0.05	0.95	0.006
1.4	34	0.05	0.95	0.006
1.425	30	0.05	0.95	0.007
1.45	28	0.05	0.95	0.007
1.475	25	0.05	0.95	0.008
1.5	23	0.05	0.95	0.009
1.525	21	0.05	0.95	0.009
1.55	20	0.05	0.95	0.01
1.575	18	0.05	0.95	0.011
1.6	17	0.05	0.95	0.011
1.625	16	0.05	0.95	0.012
1.65	15	0.05	0.95	0.012
1.675	14	0.05	0.95	0.013
1.7	14	0.05	0.95	0.013
1.725	13	0.05	0.95	0.013
1.75	12	0.05	0.95	0.014
1.775	12	0.05	0.95	0.014
1.8	11	0.05	0.95	0.015
1.825	11	0.05	0.95	0.015
1.85	10	0.05	0.95	0.016
1.875	10	0.05	0.95	0.016
1.9	9	0.05	0.95	0.018
1.925	9	0.05	0.95	0.017
1.95	9	0.05	0.95	0.017
1.975	8	0.05	0.95	0.019
2	8	0.05	0.95	0.019
1.25	67	0.05	0.9	0.004
1.275	56	0.05	0.9	0.004
1.3	48	0.05	0.9	0.005
1.325	42	0.05	0.9	0.005
1.35	37	0.05	0.9	0.006
1.375	33	0.05	0.9	0.007
1.4	29	0.05	0.9	0.007
1.425	26	0.05	0.9	0.008
1.45	24	0.05	0.9	0.009
1.475	22	0.05	0.9	0.009
1.5	20	0.05	0.9	0.01
1.525	19	0.05	0.9	0.01
1.55	17	0.05	0.9	0.011
1.575	16	0.05	0.9	0.012
1.6	15	0.05	0.9	0.013
1.625	14	0.05	0.9	0.013
1.65	13	0.05	0.9	0.014
1.675	12	0.05	0.9	0.015
1.7	12	0.05	0.9	0.015
1.725	11	0.05	0.9	0.016
1.75	11	0.05	0.9	0.016
1.775	10	0.05	0.9	0.017
1.8	10	0.05	0.9	0.017
1.825	9	0.05	0.9	0.018
1.85	9	0.05	0.9	0.018
1.875	8	0.05	0.9	0.02
1.9	8	0.05	0.9	0.02
1.925	8	0.05	0.9	0.02
1.95	7	0.05	0.9	0.022
1.975	7	0.05	0.9	0.022
2	7	0.05	0.9	0.022
1.25	56	0.05	0.8	0.004
1.275	47	0.05	0.8	0.005
1.3	40	0.05	0.8	0.006
1.325	35	0.05	0.8	0.007
1.35	31	0.05	0.8	0.007
1.375	27	0.05	0.8	0.008
1.4	24	0.05	0.8	0.009
1.425	22	0.05	0.8	0.01
1.45	20	0.05	0.8	0.01
1.475	18	0.05	0.8	0.011
1.5	17	0.05	0.8	0.012
1.525	16	0.05	0.8	0.012
1.55	14	0.05	0.8	0.014
1.575	13	0.05	0.8	0.015
1.6	13	0.05	0.8	0.015
1.625	12	0.05	0.8	0.016
1.65	11	0.05	0.8	0.017
1.675	10	0.05	0.8	0.018
1.7	10	0.05	0.8	0.018
1.725	9	0.05	0.8	0.019
1.75	9	0.05	0.8	0.019
1.775	8	0.05	0.8	0.021
1.8	8	0.05	0.8	0.021
1.825	8	0.05	0.8	0.021
1.85	7	0.05	0.8	0.023
1.875	7	0.05	0.8	0.023
1.9	7	0.05	0.8	0.023
1.925	6	0.05	0.8	0.026
1.95	6	0.05	0.8	0.026
1.975	6	0.05	0.8	0.026
2	6	0.05	0.8	0.025
