ComplexID	ComplexName	Organism	Synonyms	Cell.line	subunits.UniProt.IDs.	subunits.Entrez.IDs.	Protein.complex.purification.method	GO.ID	GO.description	FunCat.ID	FunCat.description	PubMed.ID	subunits.Protein.name.	subunits.Gene.name.	subunits.Gene.name.syn.	Disease.comment	Subunits.comment	Complex.comment	SWISSPROT.organism	Num.Uniprot.IDs	MyListOverlap	querysize	expected	FCEnrichment	pvalue	Comparisons
13	MUS81-CDS1 complex	Human	None	None	Q92903;Q96NY9	1040;80198	MI:0004- affinity chromatography technologies	GO:0006281;GO:0006310	DNA repair;DNA recombination	10.01.05.01;10.01.05.03	DNA repair;DNA recombination	11741546	Phosphatidate cytidylyltransferase 1 ;Crossover junction endonuclease MUS81	CDS1;MUS81	CDS;	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	2	1	678	0.384571752694271	2.60029498525074	0.0369297980956059	Cal33-HSC6
57	HDAC4-ERK2 complex	Human	None	None	P28482;P56524	5594;9759	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:2001141;GO:0006355;GO:0000165;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;MAPK cascade;chromosome organization;nucleus	10.01.09.05;11.02.03.04;30.01.05.01.03;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcriptional control;MAPKKK cascade;organization of chromosome structure;nucleus	11114188	Mitogen-activated protein kinase 1;Histone deacetylase 4	MAPK1;HDAC4	ERK2, PRKM1, PRKM2;KIAA0288	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	2	1	678	0.384571752694271	2.60029498525074	0.0369297980956059	Cal33-HSC6
92	CD28-transactivation complex	Human	None	None	P10747;P19338	940;4691	MI:0004- affinity chromatography technologies	GO:0006352;GO:2001141;GO:0006355;GO:0005634	DNA-templated transcription, initiation;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus	11.02.03.01.01;11.02.03.04;70.10	transcription initiation;transcriptional control;nucleus	12324461	T-cell-specific surface glycoprotein CD28 ;Nucleolin	CD28;NCL	;	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	2	1	678	0.384571752694271	2.60029498525074	0.0369297980956059	Cal33-HSC6
246	BLM complex III	Human	BLM-CIII complex	None	P40692;P54132;Q13472;Q9H9A7	4292;641;7156;80010	MI:0006- anti bait coimmunoprecipitation	GO:0051276;GO:0006281;GO:0006974;GO:0005634	chromosome organization;DNA repair;cellular response to DNA damage stimulus;nucleus	42.10.03;10.01.05.01;32.01.09;70.10	organization of chromosome structure;DNA repair;DNA damage response;nucleus	12724401	DNA mismatch repair protein Mlh1 ;Bloom syndrome protein ;DNA topoisomerase 3-alpha ;RecQ-mediated genome instability protein 1	MLH1;BLM;TOP3A;RMI1	COCA2;RECQ2 RECQL3;TOP3;C9orf76	BLM complex III is involved in Bloom syndrome (BS).	Another subunit of the complex was found in the analysis, which has not been further characterized: BLAPp100.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	4	3	678	0.769143505388542	3.90044247787611	0.00135730940724412	Cal33-HSC6
292	MutL-alpha complex	Human	MLH1-PMS2 complex	None	P40692;P54278	4292;5395	MI:0029- cosedimentation through density gradients	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;16.03.01;32.01.09;70.10	DNA repair;DNA binding;DNA damage response;nucleus	7892206	DNA mismatch repair protein Mlh1 ;Mismatch repair endonuclease PMS2	MLH1;PMS2	COCA2;PMSL2	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	2	1	678	0.384571752694271	2.60029498525074	0.0369297980956059	Cal33-HSC6
314	PCNA-p21 complex	Human	None	None	P12004;P38936	5111;1026	MI:0114- x-ray crystallography	GO:0000075;GO:0005634	cell cycle checkpoint;nucleus	10.03.01.03;70.10	cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);nucleus	8861913	Proliferating cell nuclear antigen;Cyclin-dependent kinase inhibitor 1	PCNA;CDKN1A	None;CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	2	1	678	0.384571752694271	2.60029498525074	0.0369297980956059	Cal33-HSC6
379	MutL-alpha complex	Human	MLH1-PMS2 complex	None	P40692;P54278	4292;5395	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;16.03.01;32.01.09;70.10	DNA repair;DNA binding;DNA damage response;nucleus	10748105	DNA mismatch repair protein Mlh1 ;Mismatch repair endonuclease PMS2	MLH1;PMS2	COCA2;PMSL2	None	None	Normal levels of hMLH1 protein appear to be important in maintaining normal levels of hPMS1 and hPMS2 proteins, suggesting that PMS proteins are unstable in the absence of hMLH1.	Homo sapiens (Human);Homo sapiens (Human)	2	1	678	0.384571752694271	2.60029498525074	0.0369297980956059	Cal33-HSC6
380	MutL-beta complex	Human	MLH1-PMS1 complex	None	P40692;P54277	4292;5378	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;16.03.01;32.01.09;70.10	DNA repair;DNA binding;DNA damage response;nucleus	10748105	DNA mismatch repair protein Mlh1 ;PMS1 protein homolog 1	MLH1;PMS1	COCA2;PMSL1	None	None	The results provide evidence for the association of hPMS1 with hMLH1 as a heterodimer in human epithelial cancer cells. Normal levels of hMLH1 protein appear to be important in maintaining normal levels of hPMS1 and hPMS2 proteins, suggesting that PMS proteins are unstable in the absence of hMLH1.	Homo sapiens (Human);Homo sapiens (Human)	2	1	678	0.384571752694271	2.60029498525074	0.0369297980956059	Cal33-HSC6
419	Farnesyltransferase	Human	None	None	P49354;P49356	2339;2342	MI:0114- x-ray crystallography	GO:0006497;GO:0005515	protein lipidation;protein binding	14.07.01;16.01	modification with fatty acids (e.g. myristylation, palmitylation, farnesylation);protein binding	11687658	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha ;Protein farnesyltransferase subunit beta	FNTA;FNTB	;	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	2	1	678	0.384571752694271	2.60029498525074	0.0369297980956059	Cal33-HSC6
434	BASC (Ab 80) complex (BRCA1-associated genome surveillance complex)	Human	None	None	P35249;P35250;P35251;P38398;P40692;P43246;P52701;P54132	5984;5982;5981;672;4292;4436;2956;641	MI:0007- anti tag coimmunoprecipitation	GO:0006281;GO:0006974;GO:0005634	DNA repair;cellular response to DNA damage stimulus;nucleus	10.01.05.01;32.01.09;70.10	DNA repair;DNA damage response;nucleus	10783165	Replication factor C subunit 4;Replication factor C subunit 2;Replication factor C subunit 1;Breast cancer type 1 susceptibility protein;DNA mismatch repair protein Mlh1 ;DNA mismatch repair protein Msh2 ;DNA mismatch repair protein Msh6 ;Bloom syndrome protein	RFC4;RFC2;RFC1;BRCA1;MLH1;MSH2;MSH6;BLM	None;None;RFC140;RNF53;COCA2;;GTBP;RECQ2 RECQL3	BRCA1 is involved in breast cancer.	None	For isolation of the BASC complex (Ab 80), polyclonal antibodies against GST-BRCA1 1021-1552 were used.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	8	3	678	1.53828701077708	1.95022123893805	0.0492765626885742	Cal33-HSC6
