ComplexID	ComplexName	Organism	Synonyms	Cell.line	subunits.UniProt.IDs.	subunits.Entrez.IDs.	Protein.complex.purification.method	GO.ID	GO.description	FunCat.ID	FunCat.description	PubMed.ID	subunits.Protein.name.	subunits.Gene.name.	subunits.Gene.name.syn.	Disease.comment	Subunits.comment	Complex.comment	SWISSPROT.organism	Num.Uniprot.IDs	MyListOverlap	querysize	expected	FCEnrichment	pvalue	Comparisons
49	DNMT3B complex	Human	None	None	O60264;O95239;O95347;Q13547;Q96ST3;Q9NTJ3;Q9UBC3	8467;24137;10592;3065;25942;10051;1789	MI:0019- coimmunoprecipitation	GO:0006306;GO:0006265;GO:0000279;GO:0007067;GO:0007059;GO:0051276;GO:0005694	DNA methylation;DNA topological change;M phase;mitotic nuclear division;chromosome segregation;chromosome organization;chromosome	10.01.09.01;10.01.09.05;10.03.01.01.11;10.03.04.05;42.10.03;70.10.03	DNA methylation;DNA conformation modification (e.g. chromatin);M phase;chromosome segregation/division;organization of chromosome structure;chromosome	15148359	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Chromosome-associated kinesin KIF4A ;Structural maintenance of chromosomes protein 2 ;Histone deacetylase 1;Paired amphipathic helix protein Sin3a;Structural maintenance of chromosomes protein 4 ;DNA	SMARCA5;KIF4A;SMC2;HDAC1;SIN3A;SMC4;DNMT3B	SNF2H WCRF135;KIF4;CAPE SMC2L1;RPD3L1;None;CAPC SMC4L1;None	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	7	5	1377	2.73369256948383	1.82902790745928	0.0164320924752751	Cal33-HSC6
190	Mitotic checkpoint complex (MCC)	Human	APC/C inhibitory factor	None	O43684;O60566;Q12834;Q13257	9184;701;991;4085	MI:0071- molecular sieving; MI:0006- anti bait coimmunoprecipitation; MI:0096- pull down	GO:0000075	cell cycle checkpoint	10.03.01.03	cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle)	11535616	Mitotic checkpoint protein BUB3;Mitotic checkpoint serine/threonine-protein kinase BUB1 beta ;Cell division cycle protein 20 homolog ;Mitotic spindle assembly checkpoint protein MAD2A	BUB3;BUB1B;CDC20;MAD2L1	;BUBR1 MAD3L SSK1;;MAD2	None	None	MCC inhibitory activity is 3,000-fold greater than that of recombinant MAD2, MCC is not generated from kinetochores, as it is also present and active in interphase cells.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	4	3	1377	1.56211003970505	1.92047930283224	0.0231980688384475	Cal33-HSC6
330	PSF-p54(nrb) complex	Human	None	None	P23246;Q15233	6421;4841	MI:0091- chromatography technologies	GO:0006281;GO:0005515;GO:0003677;GO:0006974;GO:0005634	DNA repair;protein binding;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;16.01;16.03.01;32.01.09;70.10	DNA repair;protein binding;DNA binding;DNA damage response;nucleus	15590677	Splicing factor, proline- and glutamine-rich ;Non-POU domain-containing octamer-binding protein	SFPQ;NONO	PSF;NRB54	None	None	PSF-p54(nrb) complex probably works as a dimeric complex.	Homo sapiens (Human);Homo sapiens (Human)	2	2	1377	0.781055019852524	2.56063907044299	0	Cal33-HSC6
335	p54(nrb)-PSF-matrin3 complex	Human	None	None	P23246;P43243;Q15233	6421;9782;4841	MI:0030- cross-linking studies	GO:0003723;GO:0050658;GO:0051033;GO:0005634	RNA binding;RNA transport;RNA transmembrane transporter activity;nucleus	16.03.03;20.01.21;70.10	RNA binding;RNA transport;nucleus	11525732	Splicing factor, proline- and glutamine-rich ;Matrin-3;Non-POU domain-containing octamer-binding protein	SFPQ;MATR3;NONO	PSF;KIAA0723;NRB54	None	None	This complex binds specifically to inosine-containing RNAs and anchors hyperedited RNAs to the nuclear matrix.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	3	1377	1.17158252977879	2.56063907044299	0	Cal33-HSC6
554	PBAF complex (Polybromo- and BAF containing complex)	Human	SWI/SNF complex B	None	O96019;P51532;Q12824;Q68CP9;Q86U86;Q8TAQ2;Q92922;Q92925;Q969G3;Q96GM5	86;6597;6598;196528;55193;6601;6599;6603;6605;6602	MI:0226- ion exchange chromatography	GO:0006265;GO:0045893;GO:0003677;GO:0009755;GO:0023052;GO:0051276;GO:0005694	DNA topological change;positive regulation of transcription, DNA-templated;DNA binding;hormone-mediated signaling pathway;signaling;chromosome organization;chromosome	10.01.09.05;11.02.03.04.01;16.03.01;30.01.09.08;30.01;42.10.03;70.10.03	DNA conformation modification (e.g. chromatin);transcription activation;DNA binding;hormone mediated signal transduction;cellular signalling;organization of chromosome structure;chromosome	11780067	Actin-like protein 6A;Transcription activator BRG1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;AT-rich interactive domain-containing protein 2;Protein polybromo-1;SWI/SNF complex subunit SMARCC2;SWI/SNF complex subunit SMARCC1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	ACTL6A;SMARCA4;SMARCB1;ARID2;PBRM1;SMARCC2;SMARCC1;SMARCD2;SMARCE1;SMARCD1	BAF53 BAF53A INO80K;BAF190A BRG1 SNF2B SNF2L4;BAF47, INI1, SNF5L1;KIAA1557;BAF180 PB1;BAF170;BAF155;BAF60B;BAF57;BAF60A	None	None	The chromatin-remodeling complex PBAF facilitates gene activation by assisting transcription machinery to gain access to targets on the chromosome. As additional members of the complex the authors mentioned actin and beta-tubulin.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	10	6	1377	3.90527509926262	1.5363834422658	0.0478119804864858	Cal33-HSC6
570	p300-CBP-p270-SWI/SNF complex	Human	None	None	O14497;P51532;Q09472;Q12824;Q8TAQ2;Q92793;Q92922	8289;6597;2033;6598;6601;1387;6599	MI:0006- anti bait coimmunoprecipitation	GO:0006265;GO:0045893;GO:0006473;GO:0006476;GO:0003677;GO:0051276;GO:0005694	DNA topological change;positive regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;DNA binding;chromosome organization;chromosome	10.01.09.05;11.02.03.04.01;14.07.04;16.03.01;42.10.03;70.10.03	DNA conformation modification (e.g. chromatin);transcription activation;modification by acetylation, deacetylation;DNA binding;organization of chromosome structure;chromosome	9584200	AT-rich interactive domain-containing protein 1A;Transcription activator BRG1;Histone acetyltransferase p300;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;SWI/SNF complex subunit SMARCC2;CREB-binding protein;SWI/SNF complex subunit SMARCC1	ARID1A;SMARCA4;EP300;SMARCB1;SMARCC2;CREBBP;SMARCC1	BAF250 BAF250A C1orf4 OSA1 SMARCF1;BAF190A BRG1 SNF2B SNF2L4;P300;BAF47, INI1, SNF5L1;BAF170;CBP;BAF155	None	Several other, not further characterized members of the complex have been isolated: p75,p71,p64,p59 and p50.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	7	5	1377	2.73369256948383	1.82902790745928	0.0164320924752751	Cal33-HSC6
614	NRD complex (Nucleosome remodeling and deacetylation complex)	Human	None	None	O60341;Q09028;Q12873;Q13330;Q13547;Q14839;Q92769	23028;5928;1107;9112;3065;1108;3066	MI:0006- anti bait coimmunoprecipitation	GO:0006265;GO:2001141;GO:0006355;GO:0006473;GO:0006476;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus	10.01.09.05;11.02.03.04;14.07.04;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcriptional control;modification by acetylation, deacetylation;organization of chromosome structure;nucleus	9804427	Lysine-specific histone demethylase 1A;Histone-binding protein RBBP4;Chromodomain-helicase-DNA-binding protein 3;Metastasis-associated protein MTA1;Histone deacetylase 1;Chromodomain-helicase-DNA-binding protein 4;Histone deacetylase 2	KDM1A;RBBP4;CHD3;MTA1;HDAC1;CHD4;HDAC2	AOF2 KDM1 KIAA0601 LSD1;RBAP48;None;None;RPD3L1;None;None	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	7	5	1377	2.73369256948383	1.82902790745928	0.0164320924752751	Cal33-HSC6
634	XFIM complex	Human	None	None	O60341;P78347;Q13547;Q14202;Q92769	23028;2969;3065;9203;3066	MI:0007- anti tag coimmunoprecipitation; MI:0071- molecular sieving	GO:0006265;GO:0045892;GO:0032774;GO:0006473;GO:0006476;GO:0051276;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein acetylation;protein deacetylation;chromosome organization;nucleus	10.01.09.05;11.02.03.04.03;11.02;14.07.04;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;modification by acetylation, deacetylation;organization of chromosome structure;nucleus	12493763	Lysine-specific histone demethylase 1A;General transcription factor II-I;Histone deacetylase 1;Zinc finger MYM-type protein 3;Histone deacetylase 2	KDM1A;GTF2I;HDAC1;ZMYM3;HDAC2	AOF2 KDM1 KIAA0601 LSD1;BAP135 WBSCR6;RPD3L1;DXS6673E KIAA0385 ZNF261;None	XFIM (ZMYM3) is involved in X-linked mental retardation.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	5	4	1377	1.95263754963131	2.04851125635439	0.00904342660851458	Cal33-HSC6
740	Exon junction complex, EIF4A3-MLN51-MAGOH-Y14 (RNA-protein complex)	Human	None	None	O15234;P38919;P61326;Q9Y5S9	22794;9775;4116;9939	MI:0004- affinity chromatography technologies; MI:0040- electron microscopy; MI:0071- molecular sieving; MI:0114- x-ray crystallography	GO:0043488;GO:0006417;GO:0003723;GO:0050658;GO:0051033;GO:0051169;GO:0005737;GO:0005634	regulation of mRNA stability;regulation of translation;RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus	11.04.03.11;12.07;16.03.03;20.01.21;20.09.01;70.03;70.10	control of mRNA stability;translational control;RNA binding;RNA transport;nuclear transport;cytoplasm;nucleus	16797590	Protein CASC3 ;Eukaryotic initiation factor 4A-III;Protein mago nashi homolog;RNA-binding protein 8A	CASC3;EIF4A3;MAGOH;RBM8A	MLN51;DDX48, KIAA0111;MAGOHA;RBM8, Y14	None	None	This protein complex remains stably bound to the mRNA through different cellular environments. Magoh and Y14 form a tight heterodimer. The authors propose a that eIF4AIII interacts with Y14:Magoh to enforce a compact arrangement of eIF4AIII's two domains and allow MLN51 to interact with both eIF4AIII and the RNA.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	4	3	1377	1.56211003970505	1.92047930283224	0.0231980688384475	Cal33-HSC6
744	Exon junction complex (EIF4A3-MLN51-MAGOH-Y14)	Human	RNA-protein complex	None	O15234;P38919;P61326;Q9Y5S9	22794;9775;4116;9939	MI:0004- affinity chromatography technologies	GO:0043488;GO:0006417;GO:0003723;GO:0050658;GO:0051033;GO:0051169;GO:0005737;GO:0005634	regulation of mRNA stability;regulation of translation;RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus	11.04.03.11;12.07;16.03.03;20.01.21;20.09.01;70.03;70.10	control of mRNA stability;translational control;RNA binding;RNA transport;nuclear transport;cytoplasm;nucleus	16314458	Protein CASC3 ;Eukaryotic initiation factor 4A-III;Protein mago nashi homolog;RNA-binding protein 8A	CASC3;EIF4A3;MAGOH;RBM8A	MLN51;DDX48, KIAA0111;MAGOHA;RBM8, Y14	None	None	The experiments demonstrate that eIF4AIII, MLN51, and Magoh:Y14 are able to form a stable tetrameric complex when co-expressed in vivo. Both eIF4AIII and MLN51 are required for the stable association of either with the Magoh:Y14 heterodimer.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	4	3	1377	1.56211003970505	1.92047930283224	0.0231980688384475	Cal33-HSC6
