ComplexID	ComplexName	Organism	Synonyms	Cell.line	subunits.UniProt.IDs.	subunits.Entrez.IDs.	Protein.complex.purification.method	GO.ID	GO.description	FunCat.ID	FunCat.description	PubMed.ID	subunits.Protein.name.	subunits.Gene.name.	subunits.Gene.name.syn.	Disease.comment	Subunits.comment	Complex.comment	SWISSPROT.organism	Num.Uniprot.IDs	MyListOverlap	querysize	expected	FCEnrichment	pvalue	Comparisons
57	HDAC4-ERK2 complex	Human	None	None	P28482;P56524	5594;9759	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:2001141;GO:0006355;GO:0000165;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;MAPK cascade;chromosome organization;nucleus	10.01.09.05;11.02.03.04;30.01.05.01.03;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcriptional control;MAPKKK cascade;organization of chromosome structure;nucleus	11114188	Mitogen-activated protein kinase 1;Histone deacetylase 4	MAPK1;HDAC4	ERK2, PRKM1, PRKM2;KIAA0288	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	2	2	2160	1.2251843448667	1.63240740740741	0	Cal33-HSC6
98	p300-MDM2-p53 protein complex	Human	None	None	P04637;Q00987;Q09472	7157;4193;2033	MI:0091- chromatography technologies	GO:2001141;GO:0006355;GO:0030234;GO:0050790;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;enzyme regulator activity;regulation of catalytic activity;nucleus	11.02.03.04;18.02.01;70.10	transcriptional control;enzymatic activity regulation / enzyme regulator;nucleus	11070080	Cellular tumor antigen p53;E3 ubiquitin-protein ligase Mdm2 ;Histone acetyltransferase p300	TP53;MDM2;EP300	P53;;P300	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	3	2160	1.83777651730006	1.63240740740741	0	Cal33-HSC6
201	HUIC complex	Human	BRCA1-BARD1 complex	None	P38398;Q99728	672;580	MI:0226- ion exchange chromatography; MI:0029- cosedimentation through density gradients	GO:0007050;GO:0000075;GO:0005634	cell cycle arrest;cell cycle checkpoint;nucleus	10.03.01.02;10.03.01.03;70.10	cell cycle arrest;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);nucleus	11504724	Breast cancer type 1 susceptibility protein;BRCA1-associated RING domain protein 1	BRCA1;BARD1	RNF53;	BRCA1 is involved in breast cancer.	None	The HUIC complex has been isolated after treating cells with hydroxyurea.	Homo sapiens (Human);Homo sapiens (Human)	2	2	2160	1.2251843448667	1.63240740740741	0	Cal33-HSC6
236	WICH complex	Human	WSTF-ISWI chromatin remodeling complex	None	O60264;Q9UIG0	8467;9031	MI:0096- pull down	GO:0006265;GO:0005515;GO:0003677;GO:0005524;GO:0005694	DNA topological change;protein binding;DNA binding;ATP binding;chromosome	10.01.09.05;16.01;16.03.01;16.19.03;70.10.03	DNA conformation modification (e.g. chromatin);protein binding;DNA binding;ATP binding;chromosome	11980720	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Tyrosine-protein kinase BAZ1B	SMARCA5;BAZ1B	SNF2H WCRF135;WBSC10 WBSCR10 WBSCR9 WSTF	None	None	WICH is a member of the ISWI-containing chromatin remodelling complexes.	Homo sapiens (Human);Homo sapiens (Human)	2	2	2160	1.2251843448667	1.63240740740741	0	Cal33-HSC6
330	PSF-p54(nrb) complex	Human	None	None	P23246;Q15233	6421;4841	MI:0091- chromatography technologies	GO:0006281;GO:0005515;GO:0003677;GO:0006974;GO:0005634	DNA repair;protein binding;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;16.01;16.03.01;32.01.09;70.10	DNA repair;protein binding;DNA binding;DNA damage response;nucleus	15590677	Splicing factor, proline- and glutamine-rich ;Non-POU domain-containing octamer-binding protein	SFPQ;NONO	PSF;NRB54	None	None	PSF-p54(nrb) complex probably works as a dimeric complex.	Homo sapiens (Human);Homo sapiens (Human)	2	2	2160	1.2251843448667	1.63240740740741	0	Cal33-HSC6
335	p54(nrb)-PSF-matrin3 complex	Human	None	None	P23246;P43243;Q15233	6421;9782;4841	MI:0030- cross-linking studies	GO:0003723;GO:0050658;GO:0051033;GO:0005634	RNA binding;RNA transport;RNA transmembrane transporter activity;nucleus	16.03.03;20.01.21;70.10	RNA binding;RNA transport;nucleus	11525732	Splicing factor, proline- and glutamine-rich ;Matrin-3;Non-POU domain-containing octamer-binding protein	SFPQ;MATR3;NONO	PSF;KIAA0723;NRB54	None	None	This complex binds specifically to inosine-containing RNAs and anchors hyperedited RNAs to the nuclear matrix.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	3	2160	1.83777651730006	1.63240740740741	0	Cal33-HSC6
436	BASC (Ab C-20) complex (BRCA1-associated genome surveillance complex)	Human	None	None	P38398;P52701;Q92878	672;2956;10111	MI:0007- anti tag coimmunoprecipitation	GO:0006281;GO:0006974;GO:0005634	DNA repair;cellular response to DNA damage stimulus;nucleus	10.01.05.01;32.01.09;70.10	DNA repair;DNA damage response;nucleus	10783165	Breast cancer type 1 susceptibility protein;DNA mismatch repair protein Msh6 ;DNA repair protein RAD50	BRCA1;MSH6;RAD50	RNF53;GTBP;	BRCA1 is involved in breast cancer.	None	For isolation of the BASC complex (Ab C-20), polyclonal antibodies against the carboxy-terminal epitope of BRCA1 were used.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	3	2160	1.83777651730006	1.63240740740741	0	Cal33-HSC6
614	NRD complex (Nucleosome remodeling and deacetylation complex)	Human	None	None	O60341;Q09028;Q12873;Q13330;Q13547;Q14839;Q92769	23028;5928;1107;9112;3065;1108;3066	MI:0006- anti bait coimmunoprecipitation	GO:0006265;GO:2001141;GO:0006355;GO:0006473;GO:0006476;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus	10.01.09.05;11.02.03.04;14.07.04;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcriptional control;modification by acetylation, deacetylation;organization of chromosome structure;nucleus	9804427	Lysine-specific histone demethylase 1A;Histone-binding protein RBBP4;Chromodomain-helicase-DNA-binding protein 3;Metastasis-associated protein MTA1;Histone deacetylase 1;Chromodomain-helicase-DNA-binding protein 4;Histone deacetylase 2	KDM1A;RBBP4;CHD3;MTA1;HDAC1;CHD4;HDAC2	AOF2 KDM1 KIAA0601 LSD1;RBAP48;None;None;RPD3L1;None;None	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	7	6	2160	4.28814520703347	1.39920634920635	0.0322523746877819	Cal33-HSC6
624	LSD1-CoREST complex	Human	None	None	O60341;Q9UKL0	23028;23186	MI:0114- x-ray crystallography	GO:0006265;GO:0045892;GO:0018126;GO:0006479;GO:0051276;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;protein hydroxylation;protein methylation;chromosome organization;nucleus	10.01.09.05;11.02.03.04.03;14.07.09;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus	16885027	Lysine-specific histone demethylase 1A;REST corepressor 1	KDM1A;RCOR1	AOF2 KDM1 KIAA0601 LSD1;KIAA0071 RCOR	None	None	CoREST endows LSD1 with the ability to demethylate nucleosomal substrates and protects LSD1 from proteasomal degradation in vivo.	Homo sapiens (Human);Homo sapiens (Human)	2	2	2160	1.2251843448667	1.63240740740741	0	Cal33-HSC6
634	XFIM complex	Human	None	None	O60341;P78347;Q13547;Q14202;Q92769	23028;2969;3065;9203;3066	MI:0007- anti tag coimmunoprecipitation; MI:0071- molecular sieving	GO:0006265;GO:0045892;GO:0032774;GO:0006473;GO:0006476;GO:0051276;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein acetylation;protein deacetylation;chromosome organization;nucleus	10.01.09.05;11.02.03.04.03;11.02;14.07.04;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;modification by acetylation, deacetylation;organization of chromosome structure;nucleus	12493763	Lysine-specific histone demethylase 1A;General transcription factor II-I;Histone deacetylase 1;Zinc finger MYM-type protein 3;Histone deacetylase 2	KDM1A;GTF2I;HDAC1;ZMYM3;HDAC2	AOF2 KDM1 KIAA0601 LSD1;BAP135 WBSCR6;RPD3L1;DXS6673E KIAA0385 ZNF261;None	XFIM (ZMYM3) is involved in X-linked mental retardation.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	5	5	2160	3.06296086216676	1.63240740740741	0	Cal33-HSC6
